"Julianne.337.COL_S269_L001_R1_001_F_filt.fastq.gz"	"Julianne.351.COL_S271_L001_R1_001_F_filt.fastq.gz"	"Julianne.536.COL_S265_L001_R1_001_F_filt.fastq.gz"	"Julianne.544.COL_S255_L001_R1_001_F_filt.fastq.gz"	"Julianne.547.COL_S260_L001_R1_001_F_filt.fastq.gz"	"Julianne.582.COL_S270_L001_R1_001_F_filt.fastq.gz"	"Julianne.716.COL_S258_L001_R1_001_F_filt.fastq.gz"	"Julianne.719.COL_S272_L001_R1_001_F_filt.fastq.gz"	"Julianne.856.COL_S254_L001_R1_001_F_filt.fastq.gz"	"Julianne.891.COL_S247_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.579.COL_S159_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.604.COL_S166_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.842.COL_S133_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.872.COL_S157_L001_R1_001_F_filt.fastq.gz"	"Julianne.542.COL_S259_L001_R1_001_F_filt.fastq.gz"	"Julianne.661.COL_S266_L001_R1_001_F_filt.fastq.gz"	"Julianne.717.COL_S257_L001_R1_001_F_filt.fastq.gz"	"Julianne.841.COL_S282_L001_R1_001_F_filt.fastq.gz"	"Julianne.853.COL_S284_L001_R1_001_F_filt.fastq.gz"	"Julianne.882.COL_S253_L001_R1_001_F_filt.fastq.gz"	"Julianne.899.COL_S248_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.665.COL_S180_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.667.COL_S173_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.835.COL_S151_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.840.COL_S141_L001_R1_001_F_filt.fastq.gz"	"Julianne.540.COL_S267_L001_R1_001_F_filt.fastq.gz"	"Julianne.663.COL_S268_L001_R1_001_F_filt.fastq.gz"	"Julianne.791.COL_S256_L001_R1_001_F_filt.fastq.gz"	"Julianne.847.COL_S283_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.838.COL_S128_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.858.COL_S149_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.923.COL_S135_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.924.COL_S143_L001_R1_001_F_filt.fastq.gz"
"GLYCOCAT-PWY"	12919.7445510391	4792.24286292623	11333.0313633632	9296.82492804452	7842.64349874508	11272.8850410736	7552.7698171042	5991.64307106592	13776.6707169749	6107.77724453614	3983.63962861407	5700.39566031197	6169.99705391375	6970.69653050613	6366.02932095988	7123.44535631223	9312.85503868321	10201.8649822375	8796.41797144706	8122.43680219247	6490.23651506621	20089.0327897471	4265.99112942603	5762.7152214132	8458.57754593462	7661.93111769478	11228.0915272907	13977.4153666973	15477.7742413381	6394.34908915951	6692.71027279706	7697.30628017363	7775.35551875195
"GLYCOGENSYNTH-PWY"	12214.9928601952	6191.56569247212	11572.035605267	11349.957239264	10266.392121587	14212.554179907	7545.52838007313	7066.19816320141	14013.8195270897	5896.25252689189	5473.27935440823	6477.34568469183	6340.70912733244	7478.66840041481	7192.05392477457	8503.06203760086	9723.92847347488	10811.3283852466	10087.5240863434	10660.9739669878	6512.97331322249	20502.5628118783	4815.8676577718	6188.70010916331	7662.22571472072	6151.3126177924	14418.4163565495	14761.8084616833	11614.3444097758	6863.81265063216	7651.66781080695	8030.94286771525	7997.25867571939
"GLYCOL-GLYOXDEG-PWY"	76.8946090622907	7.98324941968357	44.8886305725072	194.817806128867	47.4627489759823	192.263806397833	37.4622752844979	101.889741308036	110.034296604138	47.9062877369329	15.800761379507	98.9158297657638	27.6583288661227	35.2802412392393	27.6711852222108	56.7358363748088	163.727511526162	294.001817032067	100.960871120727	58.9692493659747	113.788098618325	338.417579250954	23.6156746420111	124.661909502593	417.784422422366	68.4008023901131	9.65709209146787	207.722226909316	357.829728067971	39.4459765875658	28.1803427604263	71.5780829425054	63.7411483735763
"GLYCOLYSIS"	15196.0645352212	6565.85498719662	13607.4556174752	11222.1598155468	11030.6965835428	15975.525191232	9329.13802979262	7363.74265331801	12601.533903925	7702.71995896079	5434.57594833009	7514.15749874135	7740.19223640954	8957.05827685729	7511.50384304266	9868.69387266636	10142.0539256355	11972.4015454842	10247.1670274952	10219.1317683728	8745.47774438643	20805.5880227976	5675.22183910995	6807.91845833343	9301.99941478017	7940.21614491868	13077.6325301512	14943.7419217037	15750.4871265376	8104.48720326912	7278.53068924023	9032.19091772461	8784.69149419267
"GLYCOLYSIS-E-D"	2221.4672831428	365.47012634244	1662.84561763465	3869.1158727605	1053.58323771192	4418.04514946217	1190.53931750931	1818.66959917369	2218.34739426316	2295.43618323283	611.271771040967	1963.0934180657	831.200634707247	953.973141907921	745.01881128073	1651.10612870544	3122.8458787123	4843.6296671503	2776.66730582261	1502.12661218289	3362.11510537265	7290.49405912816	584.952558275457	2363.90665172986	6684.97602682346	1718.8520980792	2662.00838242261	5496.05792412798	9230.9391027962	1495.20127556413	2003.17140150396	1959.36617342308	1884.40800872319
"GLYCOLYSIS-TCA-GLYOX-BYPASS"	131.00394786786	0	189.350398145168	0	0	763.528529757887	0	0	0	0	34.5442210541611	0	0	23.88568755686	0	0	0	0	0	0	0	0	0	0	17.9388043663848	0	0	0	166.690827859175	0	0	0	0
"GLYOXYLATE-BYPASS"	79.5485228331929	7.98233708446543	45.2854112946958	249.600929571592	47.6729795433068	194.481230858576	37.7905832462789	107.74626584413	115.928594406584	49.6293881298506	15.918692013817	103.876772545612	27.8656259410826	35.4271201476952	27.8458696925222	57.4558280818479	181.735657067245	327.72030311132	131.759717652537	61.3932243248238	119.558233200762	448.95707735323	23.8518907440084	131.843136627416	1894.70726955129	69.4244126094957	139.386300356821	360.280167095577	374.830474175971	39.7342703567259	117.554152264085	73.3366748692623	65.504732530072
"GOLPDLCAT-PWY"	807.753008526	947.127098454657	1093.99548954215	370.65279364473	1595.60719833614	2019.93622660257	813.894595722621	533.135106321455	696.814526153059	521.171508809802	436.031522196817	579.428651071139	820.589031973616	808.696961513131	1015.59795520533	865.275991714195	618.253653608331	792.161958628951	225.899903824342	505.504439354474	840.337549161011	535.012775872716	563.523342572618	497.705037446167	320.724338181129	273.362162595569	236.330970637316	226.076740832689	105.78374210342	1013.44068044469	148.476021357377	848.030565457054	750.86416380605
"HCAMHPDEG-PWY"	0	0	2.33455752212389	0	0	0	0	0	0	0	0	0	0	1.71272727272727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.5018181818182	0	0	0	0
"HEME-BIOSYNTHESIS-II"	2160.66399931502	19.8765856840148	785.993043495688	1214.18941780245	53.4436902349022	1343.79134173592	996.334950605762	47.4438011193619	27.8465883611542	23.7782996241274	76.5245014526762	479.333690232042	13.9211208363459	39.5338024950288	0	5.99117785064204	31.7911943876346	51.3058183783416	65.24332441799	43.6032398133106	35.6241695270027	110.715380738554	195.967242298671	29.622937429171	23.7399270763739	194.315231006052	9.98795393355865	199.120938766658	465.717673797311	41.561044499947	31.7952843889586	60.9952057062692	219.389859840835
"HEMESYN2-PWY"	2599.78465815038	1613.89612276706	3730.87361162903	3523.5684720255	2802.62522599214	4506.46499645817	2094.12115423012	2199.1668158099	2910.35882416065	1601.85398675469	1237.46336449339	1571.57296234948	1419.35921727388	2009.78638604609	2684.59720103184	2409.01122825634	2923.59530074661	2246.62747085468	3457.54288798659	2563.24674781238	2027.92255530157	5807.69238814399	1164.95244909038	1377.48431188256	1179.78391958775	1270.53207422171	4498.10884188454	4807.77876537584	3232.23825854308	2337.69115067621	2919.16154328421	2273.15436069164	2202.6854407978
"HEXITOLDEGSUPER-PWY"	618.602355184764	350.510376601623	1427.4825240802	1768.12866556545	788.289307994908	3555.81099613779	976.486838398753	1028.16920276584	662.864464885346	289.066038197089	241.363723217939	549.49595194121	685.245687087529	378.121785091533	748.306670716678	727.456315494907	1122.71586901357	2304.30432572092	1316.59269483076	1090.90920788584	950.846633584272	5853.84092896113	471.203233106698	1426.52180270561	1574.81030108707	43.0604055966767	1214.93510022339	2098.6436182759	303.142178300493	915.770686589706	1653.25061734038	857.639309365335	446.730980932993
"HISDEG-PWY"	3374.4668806484	200.201806874043	1624.69355879314	1149.6163661141	557.047866630103	1439.48428279865	1298.10273119996	240.712443732295	795.601402181029	499.394982641622	353.16035545147	525.464277142836	329.870926450113	619.989335605133	220.557954084244	386.056476288979	255.302640211526	556.110117751149	376.98005272479	883.380689526412	736.580527998414	1193.56285997193	363.765281173594	232.124158844056	351.936774101896	1042.07875780946	428.934698017898	1495.56904904354	8255.88557819211	967.255164631772	329.202394315652	597.910048910543	523.030215385759
"HISTSYN-PWY"	7996.02387675355	2647.76319561585	8648.63526118353	4892.38270198686	4570.15925990409	7431.30495977305	5075.46137449204	3773.76990345146	9847.82527362659	4794.87692796546	2257.31065493835	3560.51670806765	4028.03439725768	4608.06546206399	3788.16851130148	4373.00244348569	6202.48257193182	6742.86009771843	5714.39994966082	4510.03718302055	4638.54087146388	13242.0462293536	2744.76719595473	3565.62258501656	6062.94532561628	5990.38458818273	6272.44012146355	9772.15148247643	11781.2487169852	4179.42815896624	4119.50096854894	5489.66702666077	5754.3815902602
"HOMOSER-METSYN-PWY"	2843.61742667937	2365.2109726887	3052.50072714614	974.500634919543	3138.16997432819	4744.34305310536	2042.16655551766	1101.19223261481	4340.96234853201	1087.16684318509	918.063755002987	1242.19171700125	2043.25218984806	2709.74874525241	1796.94625658666	2421.20950205014	1176.0292797751	1969.72319376068	562.51311614954	873.876978086617	1493.01464802336	1958.39865022437	1170.13583502518	1298.34168345121	794.592293947212	2446.89284423737	1489.47526025697	537.33809458729	253.383531138831	2298.63482616115	204.239091796646	2023.0375285526	1910.58128822885
"HSERMETANA-PWY"	1454.67530748502	2173.80790475856	3089.2177544889	969.08116987854	3056.01765752834	4624.79481712609	2049.6432778252	1091.9771747798	1467.51561673713	1105.29250801925	887.928531692797	1240.86613871143	2099.23775249309	2790.68240049115	1792.00717078969	2431.34043487982	1188.74364312523	2024.88833435262	563.705941425985	865.441278098307	1513.72840557413	1976.60611734299	1162.33902178388	1341.04764278324	813.665723460318	2542.70744951736	456.187796443755	771.028769565868	3639.47948422836	2324.59960157182	231.204150298608	2074.58637967989	1957.29408198413
"ILEUSYN-PWY"	12792.6442720262	4150.24294355742	11535.6648659509	8574.74888548673	6846.24389766903	10812.8713719118	7328.05839129021	5604.95804277884	13250.6767638377	6086.28503407195	3466.19046508731	5328.30040746852	5597.61684372195	5928.69529668718	5962.63377997334	6267.4262918386	8799.77656527793	9740.23053313272	8348.06270434387	7317.88714897123	6239.65835450047	20109.3658511128	3918.64063493271	5511.65676345347	8054.73401833039	6740.94628903371	10133.9931674558	13817.373999165	15916.5463012885	6150.25329716894	6756.94266088368	7283.69181121567	7597.30623470559
"KDO-NAGLIPASYN-PWY"	0	0	6.86804367823165	0	0	0	0	0	0	0	0	0	0	12.4774746587502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155.108731410014	0	0	0	0
"KETOGLUCONMET-PWY"	6.24624624624625	0	1.70858465812625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LACTOSECAT-PWY"	3029.77466704931	3340.53000554146	3500.89412654328	5114.67518212178	4435.7084893845	7835.48290014394	2637.45306307161	3408.92630767474	1717.20756479103	2305.63021141193	3523.53794367233	2986.05047350511	2381.39786307031	1750.20956665146	2897.73141527958	2830.47921215492	2813.60645211945	1803.57222620204	3324.27745351836	5396.80054613305	2555.08749475385	5661.35805478375	2429.94967462729	1224.51062767714	1472.03706153097	1089.30363340687	7093.32917901496	4010.87607945287	1870.45696877727	2681.87629551776	3108.80557668214	1973.64923060914	1666.05793406784
"LEU-DEG2-PWY"	12.278005456179	0	0	0	11.5695114599175	0	0	18.6733035105297	0	0	0	0	0	1.11661791727481	0	0	0	0	0	0	0	15.7803175514979	0	0	1.98884741047332	0	0	0	0	0	0	9.0056066838167	0
"MET-SAM-PWY"	4052.78786655219	3438.58589034952	4316.97326571401	1472.29669721585	4597.16469690288	7001.57620853061	2916.69903699302	1641.98945140427	5762.76824519536	1602.20073943753	1398.02167028515	1834.39044866402	2901.2920240568	3730.61126060801	2575.42942193491	3599.97685980886	1739.9003810523	2882.95486789925	857.847884440703	1330.85989446434	2196.04316829732	2924.96417467994	1715.76878950524	1880.3322814318	1186.89004984942	3342.63762963543	2235.03392178526	822.060853407872	390.996451889899	3241.91526286404	314.408174908455	2854.24255531269	2691.42369442882
"METH-ACETATE-PWY"	486.836361811749	339.923950562162	768.251372532763	847.654395904831	292.705577252087	354.751345302919	550.37279177858	265.465468979722	511.939845502101	206.950830644669	131.181712376511	348.255289856011	284.117755210637	752.85745884475	429.013754780751	325.500991351832	588.95223035691	541.588786660302	771.937452479112	371.922433908517	516.304446297485	1584.30551698288	220.779995272553	299.129029737268	691.666170584259	150.935535330402	729.374635854962	2719.31283243692	4162.24141588136	472.823678779092	360.696908416701	689.345529821045	492.699485885737
"METHGLYUT-PWY"	0	0	2.1378049448762	0	0	0	0	0	0	0	0	0	0	2.9048826490304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.7185627017303	0	0	0	0
"METHYLGALLATE-DEGRADATION-PWY"	6.18147192102199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"NAD-BIOSYNTHESIS-II"	378.899061133613	456.7709132006	655.876871639452	621.818996998062	559.11347647951	609.606178123708	560.457441184012	587.712004389239	936.728028981214	371.567473274641	291.522682433447	281.846600228896	366.20480770092	290.868195362239	1174.87850221161	371.492926702004	1089.10295585374	1355.66033104992	846.735677868725	680.658422289238	428.576793391742	3536.59357027563	334.906528113716	1052.88404743934	730.037858493065	104.139182408101	811.497496938718	1719.61993560165	2635.16307313475	518.591603760391	1107.85779803908	447.135019275012	480.871133693323
"NADSYN-PWY"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"NAGLIPASYN-PWY"	5883.78596031545	1540.28228973571	3715.8268574579	3050.67271329062	2278.71563022095	3404.67167555543	4228.96722517778	2621.90822494271	1473.77314742285	2871.7567289106	1463.59719165787	2346.28501548003	1946.51669748792	1787.86032059629	1421.59990229181	2465.23306463838	2124.17798385646	2988.20523054299	2865.2510971707	2254.52059968113	2916.45483160492	6034.14070604775	1839.90191315656	1131.30927012899	3388.52681322045	3746.3407275739	1813.73661858989	4440.16677741428	9106.35127196239	2018.8410878695	1762.16637100614	2600.28357602805	2750.94552101486
"NONMEVIPP-PWY"	11860.2429423728	3280.45709238383	9554.18334957425	6761.14457790029	6379.4860975306	8788.79238183382	6190.22585762255	4277.28992340297	11425.7857570957	5280.20424945677	2676.00662669147	4500.95946090927	5047.37861338781	5572.7363631274	4481.17782114409	6238.41724643648	7138.44354517275	8984.19240374579	6934.61997730361	5694.79577052426	5816.99966084425	14866.5461816183	3312.92659844007	4731.1016459271	6639.46197233728	6088.54710976909	7389.91927666186	10677.009251012	11813.2837609589	5001.76607441855	4561.64892733279	6202.22430889036	6333.41900386923
"NONOXIPENT-PWY"	16652.38755563	7360.65721540281	15714.5124523468	12117.8901833534	11792.7539082273	16984.536875489	10095.6132159388	7892.39830204188	17287.0382593698	8994.54642762835	5406.75569669384	8170.34884878404	9345.40735811503	10579.9036324328	9118.88042596604	10807.4298327509	12742.7664697413	14649.5622956914	11897.9906573888	11340.1349714827	10312.9506200172	26302.5999586802	6187.5100302598	8457.77322947121	11141.2179885287	10113.6971160295	15597.6008484906	17909.7547062588	17481.7530345078	10012.6756262016	8940.60977859854	10878.9551633426	10411.5352717712
"OANTIGEN-PWY"	9536.06849456159	5145.92937296133	8564.59518231997	7254.31451162978	8176.8001822782	11435.4938094611	5919.79717181162	4840.20337063971	9772.12131738778	5013.93822116486	4004.82780585785	5174.29137069726	5449.26006572506	6719.50013416405	5140.84622425185	7000.57371371841	6510.72760788037	7947.27546144778	6479.24420528052	7003.28478387263	5942.65849780237	12633.5996164787	3995.17741696708	4527.04570059648	5840.1060655732	5517.8829340961	8432.40385547162	8931.74868282615	6095.37356433461	5865.44593306139	4562.62725399027	5872.03520555006	5540.13920667826
"ORNARGDEG-PWY"	0	0	2.38136854766549	0	0	0	0	0	0	0	0	0	0	4.06001278714778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42.6970025000172	0	0	0	0
"ORNDEG-PWY"	0	0	32.5610669580295	0	0	0	0	0	0	0	0	0	0	3.13867313706808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39.0043155906759	0	0	0	0
"P101-PWY"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"P105-PWY"	59.5090660480575	0	225.207370041958	0	0	844.515623005341	0	0	0	0	18.5710732640409	0	0	33.3233050613881	0	0	0	0	0	0	0	0	0	0	14.9452656945805	0	0	0	241.394582143459	0	0	0	0
"P108-PWY"	8602.83717468425	2455.29913719835	6277.48494715836	4799.19853465179	3784.18187721571	5550.34564328045	6117.82015213608	4011.83944550049	2962.09121891668	4268.13920087921	2288.71671912575	3803.78175256828	3381.12483958051	3168.69038279043	2469.78306622856	4000.26547615279	3846.52764479334	5173.92785141427	4709.23142804431	3819.73828315832	4444.79198387391	9702.80649487145	2887.27750786853	2058.33769577043	4587.28167888463	5309.49305979452	3628.94544430954	6986.71188886038	12797.9385800944	3254.85008156602	2911.35410798385	4192.87480992856	4448.53823204836
"P122-PWY"	5818.18712244597	5948.04995215443	6750.59626861058	7353.00937397742	8211.57168964623	11919.7496958011	5616.04638552446	5431.64544739148	4201.65025584423	3996.1982951425	4852.02324732366	5069.3228367796	4690.9612881208	5933.41297649514	4944.4789552466	6501.03214358579	5055.03788390393	4904.21144362783	5445.38880955671	7527.48784567699	4914.52310173001	9974.29467260216	4095.51056347003	3079.55556213702	3068.67307104274	3490.77236236583	9088.63185595074	6949.76962361747	4075.29499343482	5456.16586336462	4451.9296481878	4821.62712329787	4225.40241547717
"P124-PWY"	7340.92140704782	7341.04034365196	8232.02255956047	9195.75302758444	10249.102746577	14745.6234941963	6829.32973482973	6640.27208734782	5725.31927516135	4720.13470060533	5892.20887824374	6165.06612441109	5773.42538735834	7229.39983191448	6171.14141461858	7937.37326111963	6337.36612116671	6136.96522917033	6769.66751925178	9265.30668013873	5848.18600899267	12323.677629945	4940.11619944817	3950.01139258499	3846.71744630182	4388.64764076895	11323.6547436654	8619.3818056618	4806.17514164791	6639.43738478327	5524.11782542077	5827.57407861627	5126.36560802212
"P125-PWY"	46.3591865102463	8.99550746397039	343.969445694166	0	8.99645944486819	884.27875009498	0	23.9613687943231	0	55.2154409176523	17.9767427499018	11.989308785103	19.469922270182	0	13.4875871308657	5.99750568514811	0	16.4727265078409	0	234.58327428648	210.93574825182	71.783166071778	0	0	103.022071000877	0	19.4871632846448	132.50749225323	0	189.461247620448	41.8635128243651	0	7.49418083134837
"P161-PWY"	6764.8077671218	7266.86029056376	8687.52186187397	9320.73694863764	11308.880690856	14521.4339782029	5676.73758096344	6364.25551193867	7496.27375767283	4278.64751449166	5868.21109987331	5817.2031855022	5914.8417752924	7032.62387117351	6275.11009848096	8969.14923855695	6500.112903396	7969.40621547005	7342.27986536108	9454.74170762764	6099.256903929	12544.4098296329	4607.02987628582	4941.38946791917	3784.75260152872	3550.5828704145	11736.6381283471	9129.45886434662	6643.6596050261	6529.32238493372	5492.15309939792	5756.4269740088	5086.97914655599
"P162-PWY"	91.8095203832061	10.031066581049	177.041279216155	217.455119123402	59.8803781296595	150.317780857974	39.3740066409156	70.8494828675883	151.374122641198	70.3129337037717	20.5656953942455	36.8347009983718	48.1678593920784	46.1103678940135	39.4513240331799	55.2733676452669	163.019507572475	180.185581028156	135.905000767189	96.3386396335012	149.611555520044	487.209010463111	28.5297582481947	83.8877488616802	281.585335810241	0	195.732280816989	329.370924536395	119.675963534641	81.1257400244291	142.247539059708	98.4367996015174	93.6105746661204
"P163-PWY"	31.2698064533693	12.8784818509784	62.647499957255	27.7323337696966	22.4465213824684	17.1867230869665	22.3376443436305	10.5180907200461	62.1790617973859	12.9011749535046	7.91836920586399	6.17866821174321	11.4406936161141	15.6279455246886	11.6673422513976	9.28861986764191	24.0451439475449	48.9592475045113	40.6258336737449	3.98523566535004	84.7735844980562	77.3254863850135	0	9.25899591815492	14.4248474201921	4.10695176139929	30.1042057185698	110.607573080588	0	31.1248153752222	6.59603101748947	26.1305515969686	14.5042306799955
"P164-PWY"	944.256825529788	942.080899475416	2176.65872958274	1958.92333438093	1403.74765486734	1448.28380708344	1514.80228867238	1204.48319028235	1282.37363082037	557.899821122107	561.114846684298	1063.8238956228	1382.53258582921	649.12172347328	1626.53590760026	1650.26059877485	1730.73641044732	2195.76899881792	1779.08333048686	1646.0945572619	1363.93966765751	7267.13018071296	863.014159018218	1952.65980019569	1322.2594418701	602.709988921437	2359.65480176601	3077.2256214228	10196.1724562595	1794.05696004987	2643.08087927603	1467.74572525731	1567.35103762664
"P184-PWY"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"P221-PWY"	7.99610593596683	0	0	0	0	0	0	0	0	0	0	0	0	1.3397980577134	0	0	0	0	0	0	0	0	0	0	1.99963584897024	0	0	0	0	0	0	0	0
"P23-PWY"	1918.23986841505	321.830631148834	1604.80806085968	1268.08878966727	914.621296890658	3560.11038252026	1063.70216299437	1459.04167495224	949.796909009313	1815.69021689649	539.900490144089	1384.32319978693	754.222251737193	774.292337377732	548.583080429973	1408.09437879225	1271.15272130047	2802.31181702296	1526.26500616181	1175.1450262905	2101.04050464361	3916.11366009004	511.159598665027	1192.05449622477	2862.56850225837	1516.98932211368	529.882891242521	680.383304477047	462.368127712444	1210.57114212595	669.775071920648	1524.5960901811	1529.47249406818
"P261-PWY"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"P281-PWY"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"P341-PWY"	372.427428960935	291.334879531249	661.953301696495	1104.10438367467	399.979183889825	402.186797636119	282.834010788706	616.533180146982	1336.02883831281	300.687019540127	282.354981189743	189.868855267682	91.9237246999862	202.708391585623	863.553924175479	374.694444220283	1023.42207470374	1013.65409812917	916.453461423245	190.566140010867	299.26696832231	1119.82326462023	179.424504759759	633.987455508932	246.025020742039	119.028381491447	917.121577076423	1354.48291676687	2560.2258004871	272.734923823155	729.594016463911	371.624437730118	416.56032990814
"P381-PWY"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"P4-PWY"	4795.60204637159	3277.2586564424	5568.49098292222	2661.25861719033	5534.14518824558	7786.78323265825	3492.13647143375	2388.88794888009	5218.83687297463	2514.58060290221	1891.82764816854	2554.91396849785	3563.88243282923	4003.71564306107	3197.45705711519	4558.06360543904	2885.52571513738	4756.76116830762	2074.59668978598	2550.69810815412	3410.31351192647	4933.19847761678	2141.55387473848	2812.50976917245	2495.2237725441	4260.59039548529	2653.91803405229	2015.61156094386	1018.94895593253	3883.09881550793	711.212368313667	3687.26019938204	3402.75926945039
"P42-PWY"	10783.2847258361	4055.08699829461	9086.29279841766	7050.28906359145	6153.59868660285	9561.26136302673	7924.47219823195	5651.34843709359	4080.99780840196	5457.82038862378	3606.94541233947	5242.98568163467	4610.26136211395	4317.62034433055	4149.10846393259	6066.24789968976	5865.10496432617	6588.23868491204	7083.75553262215	6307.44412163235	5664.10889258199	14959.6932900483	4079.36376910796	3014.53540489572	5908.57916663336	6805.24819982557	5821.17541337097	10671.5677380319	18720.9402279177	5083.89172566165	4819.04229429576	5878.80034945626	6169.91294844317
"P441-PWY"	3830.11892361976	733.574672820584	3036.55453464353	6199.152680542	2029.37114085351	7457.60694023815	2144.82930143901	3115.50335184329	3978.60620910849	3352.72954401204	1178.92814387827	3210.03114621772	1552.53738472897	1790.95182989597	1428.78545786648	2918.71487728404	4882.00588295398	6745.82613115175	4533.34318909972	2816.80951350695	4639.70478210064	10889.7798840406	1104.18605016333	3549.99987023177	5887.71589691517	2757.39685896869	4845.00068834308	8145.94080966371	10510.0580093668	2598.1759074672	3354.96900256068	3238.53957625939	3098.38789237098
"P461-PWY"	1142.78278823627	228.191927904454	991.058718305042	2685.97319256298	658.618937030084	2941.17585618841	718.001959091332	1197.64337871712	1306.39820515009	972.302989111141	391.189368012519	1238.74083505055	491.161790747841	579.31339857019	466.965451224531	1008.48524729285	1936.4517366552	2133.02876339578	1799.80974465838	977.121090839902	1331.0056413757	4481.66256020759	361.634327086236	1253.78714782116	1244.61722124261	814.436871774113	1796.42364625002	3540.64630931016	2821.26191538066	903.515207041674	1349.77222500334	1148.51324449073	1080.90335182868
"P562-PWY"	60.4340499413544	135.176374991162	328.964259684805	91.3280393780301	136.132815166022	673.537181330385	256.517389600649	142.40325396829	24.2177262180974	59.7243612276461	35.4388779761493	92.1193861443194	230.253279631057	52.6722769393248	356.903283792631	80.6430868167203	109.311579302041	456.186163497504	148.532054261402	319.998695388198	147.487766180083	1832.95549580074	126.092495048212	367.829195484401	302.87556880751	6.58799404663469	71.0941425376452	333.690181018653	1010.49491034591	260.88314290645	439.62897026599	81.7473060535282	52.5683685078427
"P621-PWY"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PANTO-PWY"	6711.51659095197	2268.64495615117	5927.55249287937	3715.7508995119	3532.90734358054	6232.48985042889	4656.95449930514	2985.59038133067	2849.81664796415	3564.68366917582	1903.7815019885	2890.00096022039	2920.58090896368	2802.48348034349	2302.80455892152	3630.28276089434	3723.76131362189	4259.55284264413	3715.79773956034	3333.90559802721	3612.37193283998	7953.96265078765	2226.09893813275	2175.70793407192	3960.66332086691	4329.62510530137	3728.20240697985	6063.89545952851	10052.2408550417	3069.97987916822	2522.97400718167	3840.26462446405	3956.55572088049
"PANTOSYN-PWY"	8336.01159921322	2953.09831697594	7178.63817411852	5010.8600533484	4643.56215655181	7879.50388773281	5620.6982282253	3887.53879814881	3816.21514188056	4202.05632343192	2587.61556454705	3768.23326937715	3686.59842577392	3628.87167539323	2987.75011876818	4707.50320240853	4675.87906247774	5390.81151031082	4847.99527997584	4381.5274287023	4478.17247672184	9876.60418887374	2887.20035887751	2764.33895279561	4622.09048190134	5123.36414365783	5014.34263358255	7543.59198506863	10637.5906297004	3780.306431809	3251.09726541374	4726.9954082902	4795.1613636988
"PENTOSE-P-PWY"	6738.94658195342	4719.83387545999	8922.62633473645	5544.25544390834	7036.32677054328	10164.6365541863	5316.057655213	3808.64579260189	5341.14577291894	4527.97885691207	2990.64839618129	3876.32207829744	4582.62060820697	5883.07149618347	5024.64584036715	5700.56457225256	5686.32492441366	6335.87282451428	5255.49552860117	5859.62719679498	5205.02424847079	12537.9083977107	3195.97052743808	3870.60767938311	4948.58048600603	4535.55697032137	7307.73651521575	9219.99059616291	11546.3077165639	5914.46134136293	4393.95265718279	5640.49672578182	5359.63426164173
