"Julianne.331.CEC_S246_L001_R1_001_F_filt.fastq.gz"	"Julianne.337.CEC_S242_L001_R1_001_F_filt.fastq.gz"	"Julianne.337.COL_S269_L001_R1_001_F_filt.fastq.gz"	"Julianne.351.CEC_S244_L001_R1_001_F_filt.fastq.gz"	"Julianne.351.COL_S271_L001_R1_001_F_filt.fastq.gz"	"Julianne.536.COL_S265_L001_R1_001_F_filt.fastq.gz"	"Julianne.544.COL_S255_L001_R1_001_F_filt.fastq.gz"	"Julianne.547.CEC_S233_L001_R1_001_F_filt.fastq.gz"	"Julianne.547.COL_S260_L001_R1_001_F_filt.fastq.gz"	"Julianne.579.CEC_S234_L001_R1_001_F_filt.fastq.gz"	"Julianne.582.CEC_S243_L001_R1_001_F_filt.fastq.gz"	"Julianne.582.COL_S270_L001_R1_001_F_filt.fastq.gz"	"Julianne.604.CEC_S235_L001_R1_001_F_filt.fastq.gz"	"Julianne.716.CEC_S231_L001_R1_001_F_filt.fastq.gz"	"Julianne.716.COL_S258_L001_R1_001_F_filt.fastq.gz"	"Julianne.719.CEC_S245_L001_R1_001_F_filt.fastq.gz"	"Julianne.719.COL_S272_L001_R1_001_F_filt.fastq.gz"	"Julianne.856.COL_S254_L001_R1_001_F_filt.fastq.gz"	"Julianne.891.CEC_S220_L001_R1_001_F_filt.fastq.gz"	"Julianne.891.COL_S247_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.536.CEC_S103_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.544.CEC_S179_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.579.COL_S159_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.604.COL_S166_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.842.COL_S133_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.856.CEC_S172_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.872.CEC_S125_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.872.COL_S157_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.842.CEC_S117_L001_R1_001_F_filt.fastq.gz"	"Julianne.542.CEC_S232_L001_R1_001_F_filt.fastq.gz"	"Julianne.542.COL_S259_L001_R1_001_F_filt.fastq.gz"	"Julianne.661.COL_S266_L001_R1_001_F_filt.fastq.gz"	"Julianne.667.CEC_S236_L001_R1_001_F_filt.fastq.gz"	"Julianne.717.CEC_S230_L001_R1_001_F_filt.fastq.gz"	"Julianne.717.COL_S257_L001_R1_001_F_filt.fastq.gz"	"Julianne.841.CEC_S278_L001_R1_001_F_filt.fastq.gz"	"Julianne.841.COL_S282_L001_R1_001_F_filt.fastq.gz"	"Julianne.853.CEC_S280_L001_R1_001_F_filt.fastq.gz"	"Julianne.853.COL_S284_L001_R1_001_F_filt.fastq.gz"	"Julianne.882.COL_S253_L001_R1_001_F_filt.fastq.gz"	"Julianne.899.CEC_S221_L001_R1_001_F_filt.fastq.gz"	"Julianne.899.COL_S248_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.661.CEC_S111_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.665.COL_S180_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.667.COL_S173_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.835.CEC_S158_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.835.COL_S151_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.840.CEC_S109_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.840.COL_S141_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.882.CEC_S165_L001_R1_001_F_filt.fastq.gz"	"Julianne.540.COL_S267_L001_R1_001_F_filt.fastq.gz"	"Julianne.663.CEC_S241_L001_R1_001_F_filt.fastq.gz"	"Julianne.663.COL_S268_L001_R1_001_F_filt.fastq.gz"	"Julianne.791.CEC_S229_L001_R1_001_F_filt.fastq.gz"	"Julianne.791.COL_S256_L001_R1_001_F_filt.fastq.gz"	"Julianne.838.CEC_S281_L001_R1_001_F_filt.fastq.gz"	"Julianne.847.CEC_S279_L001_R1_001_F_filt.fastq.gz"	"Julianne.847.COL_S283_L001_R1_001_F_filt.fastq.gz"	"Julianne.923.CEC_S223_L001_R1_001_F_filt.fastq.gz"	"Julianne.924.CEC_S224_L001_R1_001_F_filt.fastq.gz"	"Julianne.962.CEC_S222_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.540.CEC_S119_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.838.COL_S128_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.858.CEC_S171_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.858.COL_S149_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.923.COL_S135_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.924.COL_S143_L001_R1_001_F_filt.fastq.gz"
"METHGLYUT-PWY"	0	0	0	0	0	2.1378049448762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.97728081153834	2.9048826490304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.833136893862722	0	0	0	0	0	0	0	0	0	0	33.674635931968	32.7185627017303	0	0	0	0	0	0	0	0	0
"METHYLGALLATE-DEGRADATION-PWY"	0	0	6.18147192102199	0	0	0	0	0	0	6.58801575728422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"NAD-BIOSYNTHESIS-II"	4524.43655658042	399.982023947655	378.899061133613	1777.91726916625	456.7709132006	655.876871639452	621.818996998062	1691.77512362818	559.11347647951	1491.48927036663	707.14102236818	609.606178123708	443.888014064769	1682.87497072425	560.457441184012	2445.70790839392	587.712004389239	936.728028981214	483.835711426765	371.567473274641	807.870531039826	1121.05688398139	291.522682433447	281.846600228896	366.20480770092	370.726197248421	249.894069632066	290.868195362239	888.694296128279	1767.48167067678	1174.87850221161	371.492926702004	2171.24866438657	1464.6457583265	1089.10295585374	1060.30523875206	1355.66033104992	1342.56403673997	846.735677868725	680.658422289238	1190.95336593651	428.576793391742	452.775735349589	3536.59357027563	334.906528113716	172.762499598374	1052.88404743934	742.489788273727	730.037858493065	987.757038976158	104.139182408101	1494.73730350767	811.497496938718	1608.87615971278	1719.61993560165	1680.81693680553	3453.76724045481	2635.16307313475	670.828581879005	984.688126013369	1756.29212738518	750.421229293912	518.591603760391	1571.25087852321	1107.85779803908	447.135019275012	480.871133693323
"NADSYN-PWY"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"NAGLIPASYN-PWY"	4772.7480483933	2267.97351155438	5883.78596031545	2194.56250518653	1540.28228973571	3715.8268574579	3050.67271329062	1672.08472059148	2278.71563022095	5477.34387515395	2642.47245379386	3404.67167555543	1248.7977996776	4105.28587297384	4228.96722517778	4692.00366732494	2621.90822494271	1473.77314742285	3275.09585593573	2871.7567289106	2655.04359133154	1621.58752406872	1463.59719165787	2346.28501548003	1946.51669748792	1053.10213423856	1158.87346016384	1787.86032059629	1748.59572459535	2342.17893033072	1421.59990229181	2465.23306463838	1308.26806285852	2775.54294160881	2124.17798385646	2561.57617905463	2988.20523054299	3309.66153023516	2865.2510971707	2254.52059968113	3452.34986835419	2916.45483160492	1284.94025704392	6034.14070604775	1839.90191315656	1516.02015432232	1131.30927012899	2190.80815315759	3388.52681322045	2487.62587144291	3746.3407275739	2352.44365193653	1813.73661858989	2244.96115697976	4440.16677741428	3147.30857691221	9706.74565554091	9106.35127196239	3078.459714295	2369.29659172193	3502.529853497	1305.37208821717	2018.8410878695	2075.03723317472	1762.16637100614	2600.28357602805	2750.94552101486
"NONMEVIPP-PWY"	17126.2232442245	12056.121794236	11860.2429423728	8041.20597577042	3280.45709238383	9554.18334957425	6761.14457790029	14081.6556394092	6379.4860975306	16561.1693642302	6984.42836377211	8788.79238183382	4583.70723728144	9649.27753569171	6190.22585762255	9405.43759846194	4277.28992340297	11425.7857570957	6706.48298613215	5280.20424945677	9800.86737123088	8265.60065216311	2676.00662669147	4500.95946090927	5047.37861338781	5399.95444512445	12690.7069606691	5572.7363631274	6160.45466103251	7916.48414780068	4481.17782114409	6238.41724643648	6393.83507691334	7843.15325972254	7138.44354517275	7832.62905517107	8984.19240374579	8965.41883248883	6934.61997730361	5694.79577052426	9834.50067257118	5816.99966084425	5496.18801514199	14866.5461816183	3312.92659844007	3266.76090766137	4731.1016459271	5186.75917712745	6639.46197233728	7961.7377850501	6088.54710976909	7138.66212718953	7389.91927666186	7691.59612905001	10677.009251012	8047.29420078248	12754.8973308401	11813.2837609589	8118.56144639547	8916.87876865647	14281.3242433361	5110.99244603444	5001.76607441855	6809.56262268346	4561.64892733279	6202.22430889036	6333.41900386923
"NONOXIPENT-PWY"	32492.3917739723	16844.3596869091	16652.38755563	14068.8890746379	7360.65721540281	15714.5124523468	12117.8901833534	22068.444240276	11792.7539082273	26947.7822284825	11877.2567806065	16984.536875489	7150.86848870446	16139.3067189947	10095.6132159388	15239.2459107181	7892.39830204188	17287.0382593698	11460.3221157742	8994.54642762835	15561.9067588549	13279.0079582188	5406.75569669384	8170.34884878404	9345.40735811503	8272.49091279889	19179.7987712954	10579.9036324328	11666.0078022792	14527.9036012491	9118.88042596604	10807.4298327509	11826.7744297105	13005.2024826982	12742.7664697413	12570.1130509729	14649.5622956914	15415.3134273795	11897.9906573888	11340.1349714827	17485.467255716	10312.9506200172	8926.0598689201	26302.5999586802	6187.5100302598	6075.34756716649	8457.77322947121	8589.27993500441	11141.2179885287	12909.3806561343	10113.6971160295	12333.3312072175	15597.6008484906	13113.9332696314	17909.7547062588	15649.0786623218	18835.5880314338	17481.7530345078	13691.0640396779	14263.5360472812	21828.6856800403	8561.35455034658	10012.6756262016	12876.2445667775	8940.60977859854	10878.9551633426	10411.5352717712
"OANTIGEN-PWY"	14735.9356411849	9492.62182265822	9536.06849456159	6608.03399777656	5145.92937296133	8564.59518231997	7254.31451162978	10914.3439771129	8176.8001822782	14313.9362290661	6928.92737414613	11435.4938094611	3531.69388314744	7428.8468278217	5919.79717181162	7068.57039971422	4840.20337063971	9772.12131738778	6292.33900038415	5013.93822116486	7765.00644014933	6201.89303215886	4004.82780585785	5174.29137069726	5449.26006572506	4631.76088703398	11349.4176083455	6719.50013416405	6456.28306269781	7636.0159795981	5140.84622425185	7000.57371371841	5635.9577383076	6032.97315805968	6510.72760788037	6851.41278176423	7947.27546144778	8280.1452439803	6479.24420528052	7003.28478387263	9190.08791951282	5942.65849780237	4596.18755448954	12633.5996164787	3995.17741696708	4599.67686515632	4527.04570059648	4251.5842560951	5840.1060655732	6733.66687017239	5517.8829340961	5954.49137808904	8432.40385547162	6056.56175031682	8931.74868282615	8637.95168516694	6926.20618009177	6095.37356433461	7076.05296848809	6315.18794484604	9587.96427697983	4355.21033947004	5865.44593306139	6125.16781473284	4562.62725399027	5872.03520555006	5540.13920667826
"ORNARGDEG-PWY"	0	0	0	0	0	2.38136854766549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.8488577487229	4.06001278714778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43.6549269040709	42.6970025000172	0	0	0	0	0	0	0	0	0
"ORNDEG-PWY"	0	0	0	0	0	32.5610669580295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.9690987124464	3.13867313706808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40.096482056763	39.0043155906759	0	0	0	0	0	0	0	0	0
"P101-PWY"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"P105-PWY"	0	0	59.5090660480575	0	0	225.207370041958	0	0	0	59.6087371561347	99.1319632795664	844.515623005341	0	0	0	0	0	0	0	0	84.9232878461524	0	18.5710732640409	0	0	0	87.7676577289598	33.3233050613881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.9253647605586	0	0	7.4711896313715	0	0	14.9452656945805	73.4316580013727	0	0	0	0	0	0	244.376790117431	241.394582143459	0	0	0	0	0	0	0	0	0
"P108-PWY"	8991.0328068217	3969.19188226303	8602.83717468425	4001.8447163847	2455.29913719835	6277.48494715836	4799.19853465179	3357.5936786327	3784.18187721571	9809.0011817617	4424.60532558765	5550.34564328045	2347.69777641622	6656.39525199808	6117.82015213608	7463.02346864077	4011.83944550049	2962.09121891668	5188.04291722726	4268.13920087921	4938.71529768318	3062.59922345163	2288.71671912575	3803.78175256828	3381.12483958051	2018.05066063762	2473.06030168635	3168.69038279043	3217.01270450221	3982.4985486603	2469.78306622856	4000.26547615279	2738.26345858923	4716.98862984949	3846.52764479334	4546.1506412937	5173.92785141427	5609.54973207478	4709.23142804431	3819.73828315832	5668.3616185081	4444.79198387391	2456.45490419793	9702.80649487145	2887.27750786853	2421.14886479288	2058.33769577043	3264.36214131143	4587.28167888463	4335.39907968554	5309.49305979452	4108.45983225368	3628.94544430954	3985.15652105975	6986.71188886038	5072.13198278379	13506.0620453761	12797.9385800944	5265.47634418515	4468.75698556656	6115.01045379702	2388.26739702991	3254.85008156602	3678.14823221109	2911.35410798385	4192.87480992856	4448.53823204836
"P122-PWY"	10139.8741699471	2472.24615762017	5818.18712244597	4257.67088811811	5948.04995215443	6750.59626861058	7353.00937397742	5399.05562579388	8211.57168964623	9146.38179351545	5471.53573618375	11919.7496958011	1649.91351860031	4977.96192899022	5616.04638552446	4789.18533304185	5431.64544739148	4201.65025584423	4700.31674146611	3996.1982951425	4652.81302827783	3109.98966557016	4852.02324732366	5069.3228367796	4690.9612881208	2528.15860259975	4809.59106252504	5933.41297649514	5143.76349721572	6296.76290360276	4944.4789552466	6501.03214358579	3715.64992978814	3632.98732206848	5055.03788390393	4290.54769103591	4904.21144362783	6386.16791629043	5445.38880955671	7527.48784567699	6719.29434121702	4914.52310173001	2853.04658400019	9974.29467260216	4095.51056347003	4714.48142227589	3079.55556213702	2307.81528585508	3068.67307104274	4453.56008064866	3490.77236236583	4218.55866121065	9088.63185595074	3752.31213281372	6949.76962361747	7590.69804398162	3658.66587914634	4075.29499343482	4412.49230372976	2973.08340497974	3399.16433537314	1834.02245156074	5456.16586336462	5074.2398662246	4451.9296481878	4821.62712329787	4225.40241547717
"P124-PWY"	12688.9160703299	3309.79825063648	7340.92140704782	5348.43062922042	7341.04034365196	8232.02255956047	9195.75302758444	7096.02243562573	10249.102746577	11377.9039046043	6783.3144543914	14745.6234941963	2118.6294934871	6135.18498725334	6829.32973482973	5884.12008039292	6640.27208734782	5725.31927516135	5604.67875385852	4720.13470060533	5935.79599241506	4090.16646587261	5892.20887824374	6165.06612441109	5773.42538735834	3281.86203038041	6492.77977577339	7229.39983191448	6518.00146530669	7880.43154975446	6171.14141461858	7937.37326111963	4789.34952449189	4495.91622615444	6337.36612116671	5395.33126125156	6136.96522917033	8072.67046171012	6769.66751925178	9265.30668013873	8213.45295622775	5848.18600899267	3615.09347281201	12323.677629945	4940.11619944817	5743.049892229	3950.01139258499	2855.56798553977	3846.71744630182	5619.54903519296	4388.64764076895	5269.17049155039	11323.6547436654	4721.34313636972	8619.3818056618	9358.40419948639	4308.13702506665	4806.17514164791	5333.69367269982	3720.01065153064	4269.75966604886	2403.30521925305	6639.43738478327	6405.396967537	5524.11782542077	5827.57407861627	5126.36560802212
"P125-PWY"	56.8051586830809	0	46.3591865102463	19.4640957622988	8.99550746397039	343.969445694166	0	71.4780353364852	8.99645944486819	318.91833851518	268.247786080123	884.27875009498	0	26.9272587474322	0	20.959169186983	23.9613687943231	0	76.0355285322333	55.2154409176523	124.222995823655	0	17.9767427499018	11.989308785103	19.469922270182	25.3933060800207	0	0	16.4809714382019	34.4297454012446	13.4875871308657	5.99750568514811	7.49365345191975	16.4643617388255	0	11.9833989995969	16.4727265078409	14.9868741979811	0	234.58327428648	302.03416670639	210.93574825182	56.4460181692359	71.783166071778	0	11.2378489073989	0	175.459749120887	103.022071000877	139.097501719183	0	133.338487138416	19.4871632846448	80.294081052265	132.50749225323	292.675258793639	0	0	0	10.4818311777422	26.7579802676832	0	189.461247620448	65.6830345415238	41.8635128243651	0	7.49418083134837
"P161-PWY"	16074.4191699786	5732.19312195205	6764.8077671218	6121.65716743853	7266.86029056376	8687.52186187397	9320.73694863764	12065.6967196236	11308.880690856	11435.2630560187	6484.74539770454	14521.4339782029	2706.11649723336	6068.84974551524	5676.73758096344	6360.88546686369	6364.25551193867	7496.27375767283	5202.78373785929	4278.64751449166	7279.55291943942	6782.65491457574	5868.21109987331	5817.2031855022	5914.8417752924	3709.88333077342	8546.42378922781	7032.62387117351	6867.52036921094	8248.67376190036	6275.11009848096	8969.14923855695	4983.96475594382	5256.66517226059	6500.112903396	6727.43817966523	7969.40621547005	9009.10838379893	7342.27986536108	9454.74170762764	9292.27617660137	6099.256903929	4725.98559847012	12544.4098296329	4607.02987628582	6232.69695067405	4941.38946791917	3561.43323169715	3784.75260152872	5807.1040853915	3550.5828704145	5940.76009893977	11736.6381283471	5545.47678211993	9129.45886434662	9119.65565756554	6998.96212982696	6643.6596050261	5730.33561662069	5015.87175185568	8164.79126147442	3251.41160914336	6529.32238493372	6575.58962241404	5492.15309939792	5756.4269740088	5086.97914655599
"P162-PWY"	745.240095197203	154.25728062185	91.8095203832061	189.603808590711	10.031066581049	177.041279216155	217.455119123402	259.365741838751	59.8803781296595	731.821538328617	206.867562759669	150.317780857974	94.4459069230091	203.480858864366	39.3740066409156	187.792704717321	70.8494828675883	151.374122641198	137.340811222578	70.3129337037717	435.669471978766	371.579118628574	20.5656953942455	36.8347009983718	48.1678593920784	80.5988992599599	208.752851794214	46.1103678940135	181.062831192977	71.0097943533638	39.4513240331799	55.2733676452669	101.243000775357	312.066749380254	163.019507572475	185.543650906685	180.185581028156	202.197716929434	135.905000767189	96.3386396335012	349.934772123418	149.611555520044	177.778731572847	487.209010463111	28.5297582481947	11.729750148034	83.8877488616802	298.658857234765	281.585335810241	234.823523910939	0	187.634763355244	195.732280816989	204.437872502582	329.370924536395	304.24301862381	45.370822074799	119.675963534641	267.492428236616	187.723857058374	435.097332527423	54.0421929309161	81.1257400244291	254.844319301026	142.247539059708	98.4367996015174	93.6105746661204
"P163-PWY"	23.8543874943572	21.9686919940301	31.2698064533693	20.7252292080908	12.8784818509784	62.647499957255	27.7323337696966	74.0483752359733	22.4465213824684	169.182587879757	31.3704883296084	17.1867230869665	0	30.0595714696742	22.3376443436305	92.835760617141	10.5180907200461	62.1790617973859	14.4567516562108	12.9011749535046	27.686250991928	7.0602340661819	7.91836920586399	6.17866821174321	11.4406936161141	31.1272015699992	11.567127092717	15.6279455246886	19.712158805354	46.6170963818408	11.6673422513976	9.28861986764191	10.4860797375811	41.909340494595	24.0451439475449	60.3764085585363	48.9592475045113	0	40.6258336737449	3.98523566535004	76.9255611406196	84.7735844980562	14.5517464453085	77.3254863850135	0	7.07458403089145	9.25899591815492	0	14.4248474201921	24.8933979315631	4.10695176139929	41.2886933364635	30.1042057185698	29.8892837186241	110.607573080588	34.4989364872559	0	0	6.1603892706846	42.6335547704602	144.186348434573	40.4701471922939	31.1248153752222	14.4648726956173	6.59603101748947	26.1305515969686	14.5042306799955
"P164-PWY"	10473.699371879	998.583730207623	944.256825529788	3452.54950665304	942.080899475416	2176.65872958274	1958.92333438093	5151.0274721765	1403.74765486734	3287.40425455247	1161.99122592974	1448.28380708344	1188.75169997275	3778.56121048432	1514.80228867238	3299.97424897858	1204.48319028235	1282.37363082037	1067.37124797182	557.899821122107	2730.03955178799	3437.24187513623	561.114846684298	1063.8238956228	1382.53258582921	547.610906385815	928.39824770884	649.12172347328	2113.87220805976	2751.77860953295	1626.53590760026	1650.26059877485	3728.11589957962	1931.61506339259	1730.73641044732	1860.39617674842	2195.76899881792	2115.44342889401	1779.08333048686	1646.0945572619	3049.31416257931	1363.93966765751	1648.00326062731	7267.13018071296	863.014159018218	683.666771780132	1952.65980019569	1243.98805945996	1322.2594418701	1983.718806312	602.709988921437	2519.40357392081	2359.65480176601	2420.07436029856	3077.2256214228	3566.01265401706	10694.7371241741	10196.1724562595	1774.16761496978	2798.39050847346	4234.96360225219	1117.73719482549	1794.05696004987	3975.90088915439	2643.08087927603	1467.74572525731	1567.35103762664
"P184-PWY"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"P221-PWY"	0	0	7.99610593596683	0	0	0	0	0	0	7.9974594548522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3397980577134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.99934267560766	0	0	1.99963584897024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"P23-PWY"	5626.3681005416	1364.18901294841	1918.23986841505	1027.35159358037	321.830631148834	1604.80806085968	1268.08878966727	1977.9440238878	914.621296890658	4975.8592938393	1796.23235412199	3560.11038252026	847.857136493788	2658.01665518759	1063.70216299437	2655.62771769402	1459.04167495224	949.796909009313	2647.60513930473	1815.69021689649	2493.82191664116	1065.60152971137	539.900490144089	1384.32319978693	754.222251737193	559.955023519556	922.015895914361	774.292337377732	1692.9482646872	1097.17120104641	548.583080429973	1408.09437879225	1046.47956849101	1453.90444962196	1271.15272130047	2326.55303389727	2802.31181702296	1624.40695818488	1526.26500616181	1175.1450262905	3052.49583254857	2101.04050464361	1322.53575885849	3916.11366009004	511.159598665027	429.233803599231	1192.05449622477	1957.39062592858	2862.56850225837	1180.94768100262	1516.98932211368	910.346819635554	529.882891242521	676.074140293037	680.383304477047	2935.84633723443	284.963940687811	462.368127712444	2991.07688750534	908.508958799188	1948.03883378298	1029.61788435876	1210.57114212595	797.750793559207	669.775071920648	1524.5960901811	1529.47249406818
"P261-PWY"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"P281-PWY"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.66412213740458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"P341-PWY"	4973.58500555857	446.933546005352	372.427428960935	1069.33275738085	291.334879531249	661.953301696495	1104.10438367467	1093.38827288815	399.979183889825	1106.24662755923	430.100830225735	402.186797636119	341.148250176515	871.716530022996	282.834010788706	1924.76315317179	616.533180146982	1336.02883831281	518.941456404937	300.687019540127	803.72861364961	2031.87472036686	282.354981189743	189.868855267682	91.9237246999862	340.574233548463	159.138626235456	202.708391585623	234.370530933407	1098.15864512142	863.553924175479	374.694444220283	772.187394775236	1414.21149930717	1023.42207470374	637.865415837732	1013.65409812917	1511.89734974335	916.453461423245	190.566140010867	825.000089549938	299.26696832231	395.503416248836	1119.82326462023	179.424504759759	138.324847349722	633.987455508932	391.716120654614	246.025020742039	763.33930844054	119.028381491447	1110.92253729575	917.121577076423	1208.25408313985	1354.48291676687	764.922561960813	3573.51910660248	2560.2258004871	702.30702943747	617.726072592913	1788.67571101867	716.646171944809	272.734923823155	859.032366337881	729.594016463911	371.624437730118	416.56032990814
"P381-PWY"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"P4-PWY"	7785.807993859	3607.69207955672	4795.60204637159	3965.0122924166	3277.2586564424	5568.49098292222	2661.25861719033	8240.12030303438	5534.14518824558	6500.39336766341	4314.96493879174	7786.78323265825	1399.07224850824	4054.15752421015	3492.13647143375	2395.21085856185	2388.88794888009	5218.83687297463	3266.7668108115	2514.58060290221	5467.49181782794	3209.7039792091	1891.82764816854	2554.91396849785	3563.88243282923	2515.04326621966	5023.71399069877	4003.71564306107	4215.95978662154	5033.14961651756	3197.45705711519	4558.06360543904	2741.32222890991	2170.12519978947	2885.52571513738	3916.92937707002	4756.76116830762	2368.82123127347	2074.59668978598	2550.69810815412	5310.44118089016	3410.31351192647	3200.31141263845	4933.19847761678	2141.55387473848	2273.39059398142	2812.50976917245	1854.704653995	2495.2237725441	3234.71690317073	4260.59039548529	1402.23887739237	2653.91803405229	1693.83339811362	2015.61156094386	5612.04247408905	1258.43800788162	1018.94895593253	3690.97074186519	2706.19663286961	5083.35246345562	3190.76730679938	3883.09881550793	816.226310182871	711.212368313667	3687.26019938204	3402.75926945039
"P42-PWY"	12508.89203862	4998.21130155928	10783.2847258361	5680.64391063124	4055.08699829461	9086.29279841766	7050.28906359145	4712.25550132822	6153.59868660285	13973.3324495822	6757.14222681601	9561.26136302673	2788.22355240553	8618.92052171425	7924.47219823195	9660.82031697892	5651.34843709359	4080.99780840196	6482.23662189499	5457.82038862378	6645.36492846765	4048.39168420478	3606.94541233947	5242.98568163467	4610.26136211395	2962.81936441448	3164.75749180682	4317.62034433055	4440.18983494677	6512.92295759469	4149.10846393259	6066.24789968976	3569.23718613001	6475.16975469163	5865.10496432617	5888.55162206042	6588.23868491204	8339.28069826048	7083.75553262215	6307.44412163235	7582.63256098421	5664.10889258199	3503.66273014993	14959.6932900483	4079.36376910796	3628.8117051904	3014.53540489572	4213.18177213158	5908.57916663336	6321.20733243568	6805.24819982557	6169.03340263371	5821.17541337097	5881.53324929606	10671.5677380319	7660.36508072818	19338.2747817433	18720.9402279177	6035.49458334861	6039.15344135885	8779.67223189362	2908.42711306555	5083.89172566165	5857.88466484282	4819.04229429576	5878.80034945626	6169.91294844317
"P441-PWY"	13220.8687405104	4910.7443775847	3830.11892361976	4957.58059370676	733.574672820584	3036.55453464353	6199.152680542	5571.20375423316	2029.37114085351	10724.0678794136	5849.17937606145	7457.60694023815	3043.85884050696	7094.2834842986	2144.82930143901	8521.11625236745	3115.50335184329	3978.60620910849	4802.62190106405	3352.72954401204	5064.16006012045	6600.46801926717	1178.92814387827	3210.03114621772	1552.53738472897	2195.26222303785	5151.17710735983	1790.95182989597	3827.93658236001	2670.20541558261	1428.78545786648	2918.71487728404	2913.24628464105	6268.73259802489	4882.00588295398	5795.19298638196	6745.82613115175	7819.30944747464	4533.34318909972	2816.80951350695	7549.23077620677	4639.70478210064	2879.32459531235	10889.7798840406	1104.18605016333	929.253241509984	3549.99987023177	4909.20868290457	5887.71589691517	4471.4113334118	2757.39685896869	4381.6707879247	4845.00068834308	5001.6824879181	8145.94080966371	6680.70174880085	11841.8924843862	10510.0580093668	6220.68060234964	4686.22185380331	7444.57260212653	4047.38283694791	2598.1759074672	4938.25387788835	3354.96900256068	3238.53957625939	3098.38789237098
