"PFF_Cecum_11"	"PFF_Cecum_12"	"PFF_Cecum_13"	"PFF_Cecum_14"	"PFF_Cecum_15"	"PFF_Cecum_16"	"PFF_Cecum_17"	"PFF_Cecum_18"	"PFF_Cecum_19"	"PFF_Cecum_1904"	"PFF_Cecum_1906"	"PFF_Cecum_1907"	"PFF_Cecum_1908"	"PFF_Cecum_1910"	"PFF_Cecum_1913"	"PFF_Cecum_1914"	"PFF_Cecum_1917"	"PFF_Cecum_1920"	"PFF_Cecum_1921"	"PFF_Cecum_1937"	"PFF_Cecum_1938"	"PFF_Cecum_1941"	"PFF_Cecum_1942"	"PFF_Cecum_1943"	"PFF_Cecum_1944"	"PFF_Cecum_1945"	"PFF_Cecum_21"	"PFF_Cecum_25"	"PFF_Cecum_27"	"PFF_Cecum_28"	"PFF_Cecum_30"	"PFF_Cecum_32"	"PFF_Cecum_35"	"PFF_Cecum_36"	"PFF_Cecum_37"	"PFF_Colon_11"	"PFF_Colon_12"	"PFF_Colon_13"	"PFF_Colon_14"	"PFF_Colon_15"	"PFF_Colon_16"	"PFF_Colon_17"	"PFF_Colon_18"	"PFF_Colon_19"	"PFF_Colon_1904"	"PFF_Colon_1906"	"PFF_Colon_1907"	"PFF_Colon_1908"	"PFF_Colon_1910"	"PFF_Colon_1913"	"PFF_Colon_1914"	"PFF_Colon_1917"	"PFF_Colon_1920"	"PFF_Colon_1921"	"PFF_Colon_1937"	"PFF_Colon_1938"	"PFF_Colon_1941"	"PFF_Colon_1942"	"PFF_Colon_1943"	"PFF_Colon_1944"	"PFF_Colon_1945"	"PFF_Colon_1946"	"PFF_Colon_21"	"PFF_Colon_25"	"PFF_Colon_27"	"PFF_Colon_28"	"PFF_Colon_30"	"PFF_Colon_32"	"PFF_Colon_35"	"PFF_Colon_36"	"PFF_Colon_37"
"PWY-7229"	23214.3236	23726.5258	20715.7782	33431.1011	25925.7614	26136.8368	53785.2093	98261.2459	39263.5638	23860.6679	30969.6467	24379.4523	23071.3512	26704.1861	28093.3627	23447.9116	20229.6782	35372.1884	28473.3679	27919.2614	16886.0812	23856.8337	25387.5282	21811.5688	23005.6484	25661.2551	39353.5651	32817.0991	44860.4774	33231.5945	25679.2261	18708.9722	24899.7507	30655.9521	33497.6526	32298.3109	33256.637	20853.3714	35254.3315	21309.787	40956.8302	23668.567	35102.6272	30292.8638	35979.332	23664.9366	20110.2037	21733.3831	33629.1988	21810.6471	20533.2711	20689.2862	24059.3326	23886.1287	18273.4077	15810.0015	35282.1806	24960.5291	29020.3486	21512.8725	19225.7149	18960.0648	27623.2503	31982.7342	33149.6775	36777.8025	16367.8623	21652.593	24288.6411	38713.8553	32000.1049
"PWY-7234"	8340.5662	10486.8902	6321.9377	24515.7244	6908.7324	18737.0299	31384.3864	80629.7014	33956.4923	18010.993	11717.9358	12386.8544	16934.4213	14849.5456	21708.0619	12011.8803	8134.2579	18807.2903	13156.8557	18288.0421	4508.3358	17109.6743	21268.8879	16793.9444	12257.1029	19669.3786	31379.155	27326.5198	36139.0712	20662.6114	16309.2479	7917.7025	11710.629	15554.3505	20648.115	27359.2703	21894.1092	14683.5947	30861.5964	7249.5011	34935.1642	16187.16	29738.0609	25926.4188	30195.5024	14437.1008	15307.2354	16812.4078	25359.9176	19093.2338	16040.439	12538.707	15839.56	14396.3935	15452.4252	10077.7326	28357.2803	21742.5259	24430.3482	15983.4902	16669.0818	13599.1724	23070.0995	28251.881	25199.3895	32064.8412	14057.3875	16563.3878	13803.8034	20875.5085	26321.873
"PWY-7237"	650.25	233	851.45	608.6	486.4	1182.5	515.5	3236.5	547.9	315.6	1003.05	1103.2	285.1	248.2	907.7	404.5	390.5	464.4	787.65	418.1	476.7	207.3	321.8	658.8	590.8	614	933.1	315.9	845.5388	1353.5	464.4	760.2	657.75	820.1	569.6	1590.65	405.5	1745.4	473.3	444.8	3678	156.8	817.3	558.5	537.8	871.8	609.45	358.6	377.5	171.1	247.6	319	182.4	438.6	165	600.2	257.2	305.7	689.6	492	428	1396.6	685.75	467.5	760.15	922.1	200.8	513.1	1446	1357	1025.05
"PWY-7242"	13628.6432	20102.1206	12112.5334	11066.1786	18606.3134	7540.6572	15189.8078	23147.8905	6841.3372	7238.7626	17307.748	11645.3152	7201.9494	13043.3552	7823.0135	8665.3377	9414.4605	13319.9441	11451.3742	8282.3274	10857.7889	9177.6226	6553.431	6036.7602	9886.2819	8926.2135	12634.1534	9852.9314	12372.6383	12037.1228	9062.8801	9344.0789	11995.7968	8378.0789	17187.1808	12048.1123	21923.0293	10866.1022	7366.2966	14622.7286	6992.4996	5197.7797	5839.5358	6732.4152	9724.9423	12142.7526	6994.1644	6376.5604	7519.7636	3201.5654	7057.6866	8014.3252	4453.6946	9289.6691	3379.0619	7855.822	9935.0968	5641.3225	7649.9532	8634.7591	5009.9245	9571.2459	7866.8539	6817.6405	10680.1503	7397.137	4002.698	7561.6057	11528.6522	17398.9905	10694.258
"PWY-7254"	122.4219	0	0	0	0	0	0	47.9541	281.6571	158.0616	62.8711	49.3842	28.4427	0	140.7396	394.4903	65.7484	41.1693	0	59.8534	32.9424	0	38.8903	84.2877	29.9591	20.9734	17.9842	122.0566	53.8959	56.8762	0	38.9106	98.5389	0	0	29.9436	0	0	0	14.9912	49.2687	0	15.4014	209.4498	307.501	105.9567	84.7412	45.5579	0	185.2235	277.5813	53.0334	44.7267	198.2738	11.9862	62.6245	0	50.6774	35.9164	80.5378	0	17.9768	0	50.5877	110.4763	47.8272	14.9676	63.3668	65.7783	32.964	10.4933
"PWY-7255"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PWY-7315"	9739.1662	13667.9699	7631.3017	9778.7595	11796.2504	7760.8594	20378.2695	20382.7769	2272.5813	6082.569	9145.5196	7211.2023	5182.611	10298.618	6307.5671	4346.619	5626.0985	9223.1483	10409.6188	12146.8945	7958.7781	5461.393	4116.5579	5293.7979	7567.8186	5145.1222	9087.853	5180.4117	10095.3843	11623.66	11210.8768	6725.1739	9627.4675	12226.9469	12734.2644	1712.6636	13784.4131	3333.4148	1940.9933	8495.5439	1702.5558	6174.18	5268.7489	1941.6089	4278.0088	4915.5405	1872.3286	3493.8069	3984.1485	1468.4258	1434.817	3666.7571	2372.0919	7147.3622	4472.7949	2408.6308	5343.1593	1976.4379	5149.5627	4345.9168	1058.1137	1266.3013	4630.5436	774.7126	8880.9928	2681.9082	1731.7078	1400.6917	4009.215	10337.386	4052.2311
"PWY-7323"	10440.8791	6414.8683	8374.9393	10044.2811	10855.0419	9049.1394	15419.8005	22107.4221	9128.1318	6564.3611	11852.0224	10578.1642	7010.6675	4972.8565	10262.327	9696.6499	8217.7798	7067.1096	11229.1973	8928.8912	7331.5939	5110.4712	7887.2558	8140.9995	9963.5687	9867.5716	8114.8657	8900.9594	11940.3065	9260.6147	7886.0311	6565.8319	10342.7472	9623.8853	12329.4737	13495.753	7825.2889	10543.0777	8441.5466	10148.0163	8260.74	5970.9455	6162.5432	8470.7993	9582.3621	9993.7109	8084.04	6115.3278	7670.8091	4496.6465	8716.7115	8200.0898	4225.0404	10888.1582	5132.9477	8529.6507	6517.1931	7463.4615	10308.7525	10138.4579	5929.7196	11394.4263	5875.6599	9004.3721	10143.3708	7961.0602	4675.3043	7462.9171	13665.5468	13425.0045	11674.6202
"PWY-7328"	5191.4618	4880.2488	4751.8967	10536.1327	5860.2694	9731.2972	19719.0079	27492.4936	3017.3592	6355.9485	7168.6233	7703.2301	5624.271	4669.5989	8806.4904	7078.6631	5325.7281	8271.5816	8581.4812	11048.815	3828.3969	5107.5844	5343.0262	7309.5131	7385.8344	6830.6562	7844.1067	5247.6233	10964.3854	11494.0603	9777.7945	5845.9338	6494.386	13780.6748	9081.6733	5699.4036	4983.5544	5595.1123	2860.4071	3962.0846	2894.0034	6721.6333	7093.6787	2603.5244	4819.9935	4976.0658	3579.5635	3478.9889	3318.1143	1997.9765	2632.6379	3994.0071	2409.9361	5550.2673	4663.2871	2459.6696	5546.5559	2487.1313	6504.5336	3598.3247	1854.505	3986.4655	3946.1193	2139.1406	8774.5629	4194.5865	1888.7526	2098.3595	6094.7165	12441.0393	5680.3089
"PWY-7332"	525.1326	915.9108	1002.9462	1226.4324	2277.8909	839.8034	1094.7289	2969.2726	879.3237	831.1079	963.5276	1137.9367	1365.2043	676.6615	972.6193	1009.1158	719.3688	942.5704	1689.8955	2565.7521	1217.4327	882.4051	633.386	944.1998	2073.0603	543.7938	2294.3573	1001.1069	7628.8683	1908.8201	1924.6786	320.4865	671.7886	1694.514	1029.4538	824.6579	848.111	386.783	284.2649	1832.8888	236.3405	234.9149	304.8797	1026.9065	633.103	505.6175	261.3782	1125.3718	427.2593	48.8743	415.2424	641.6679	111.3659	1038.3712	1175.0733	285.9717	755.7366	238.6557	1050.9224	1666.7376	173.0321	1064.2548	1284.0393	514.9618	5204.9542	1378.2481	616.9806	55.8108	2268.2619	1726.7902	1286.4291
"PWY-7371"	766.7828	713.3982	816.4706	999.6444	1167.932	1480.6516	1598.2867	3303.4838	562.4312	823.3462	1156.0192	1470.802	859.5	504.9841	1605.7667	1669.0609	602.5183	614.5324	947.959	530.9923	124.6599	714.5	1141.5811	1389.9536	2006.2768	1108.3798	819.1623	983	2106.6488	1519.4417	1591.2347	949.8896	839.3127	2586.5753	1358.7684	372.9737	533.0408	192.1093	195.2595	741.0469	204.3392	356.7263	540.138	420.2215	606.0034	504.3635	890.8316	447	459.4606	146.0841	295.6984	347.2574	228.3088	523.9834	187.9636	91.1271	469.1412	429.5046	611.1595	491.2729	147	414.5406	446.5	399.6577	1548.5883	244.0642	342.0704	513.3555	957.533	2319.685	658.4076
"PWY-7374"	721.8373	708.5908	814.0718	996.976	1151.8331	1477.9838	1579.2374	3289.6034	551.128	817.3428	1148.9472	1463.6291	859.5	503.3829	1602.8521	1654.6523	594.7641	597.6514	940.0784	508.8973	123.3764	714.5	1134.4831	1386.7612	2001.348	1104.0021	818.0953	983	2103.1807	1515.046	1569.7129	942.652	813.8821	2579.3147	1354.2385	334.138	518.4489	190.2387	193.1211	712.9122	179.3221	340.3851	534.3926	408.2416	598.2562	420.7759	884.8391	447	457.0576	144.4226	273.5895	340.5665	225.7427	510.0561	154.8608	90.0578	463.7949	426.0619	593.5676	488.3377	147	409.224	446.5	398.5904	1537.6381	239.5148	330.9227	508.9575	904.6781	2305.0742	652.1568
"PWY-7376"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	294.2355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PWY-7377"	112.0417	39.8867	220.992	497.0764	0	0	1707.0098	1110.1845	1411.3138	106.1648	203.2158	2536.4575	1644.6653	1012.1139	838.9443	3543.1839	2106.0947	2482.5694	241.2872	47.2044	0	578.6001	59.1363	624.7882	52.9619	123.5721	0	174.0122	0	59.7307	0	1621.3618	4432.5679	284.3298	0	370.2408	151.1916	486.746	690.2678	0	0	1368.2682	266.1541	1372.1774	243.7902	385.0317	1646.0446	1355.7756	1977.8842	322.415	2013.2992	1913.9863	1241.9917	1149.1526	0	0	916.2079	0	969.4602	124.1241	0	0	0	120.3299	0	97.4473	32.6539	2193.1889	2564.6572	430.3177	0
"PWY-7391"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PWY-7392"	10807.2682	11253.0645	8546.9654	19726.5638	11419.1969	15631.791	30817.3586	49686.8612	14564.1232	13565.5481	14623.8512	13665.428	13210.5665	15172.7507	16611.7735	13973.8077	10745.0464	19453.6631	16313.4322	16801.9766	5073.7894	13455.2814	13159.0546	12985.7263	13658.5757	14827.3718	21195.0212	16736.6355	25694.3711	19913.5155	15512.746	9670.6343	14715.687	15627.9523	20158.4197	17087.3967	19062.6983	11903.2664	12952.124	10991.2824	15385.9638	13105.937	13671.6084	13074.2194	19246.1855	12989.0527	11078.2783	11514.2033	14429.8525	7970.8565	11825.0572	11730.7416	9231.4808	14378.367	9438.812	8222.9069	17528.3107	10180.7852	15416.9015	12410.3572	8111.2409	11743.5106	13309.5525	11367.3927	19562.8142	14068.0249	7483.948	11618.132	14236.478	16454.3646	16535.9829
"PWY-7400"	19793.4227	22175.5495	17839.9527	21553.2639	22192.1337	16249.898	35605.4544	48084.1293	11233.2136	14209.2261	24377.3337	16620.4252	12747.2258	17181.9883	16135.2267	17216.3401	13531.0109	21135.3387	18932.431	20209.9971	15187.8457	15005.9438	11881.0533	12550.6857	17139.6399	14140.531	20765.9102	14738.1896	25718.0275	24850.8623	19409.1563	13770.7968	17829.5574	19861.048	23821.5307	12201.7417	24990.016	10421.805	8904.4199	17091.3759	12086.1266	11982.2563	12788.4307	9829.4639	16185.2608	15618.112	8637.4019	9865.0537	11290.5845	6163.7732	9810.6584	10520.0051	7338.2279	15900.0198	8717.1491	9572.1773	16942.1128	7501.9293	12701.3792	11027.8361	5413.2811	9295.8108	12133.6845	6095.5883	20613.579	11476.6153	6088.2863	9611.7126	13335.1617	22644.5653	12802.7335
"PWY-7431"	0	0	0	0	0	45.2821	94.2892	35.7801	33.2945	31.9734	0	0	0	0	0	22.6164	0	47.9822	0	34.4213	0	0	0	15.992	0	0	0	21.5486	0	90.4024	0	74.2709	0	39.5018	0	91.7752	0	0	0	0	103.5615	41.2783	0	41.2731	0	19.7157	0	0	0	18.6455	29.1848	0	54.5002	132.9542	55.8346	0	33.3007	19.9805	0	0	0	0	0	31.9594	35.2117	83.7074	0	100.0487	45.2865	169.26	0
"PWY-7446"	0	0	0	0	0	0	0	9.0783	0	0	0	0	0	0	0	1	0	1.8958	0	0	0	0	0	0	0.8887	0	0	2.0513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.6431	0	0	0	0	0	0	0	1.86	0	2	6.1524	0	0	0	0	0	0	0	3.86	0	4.7014	0	0	0	0	0	14.4744	0
"PWY-7456"	3636.969	926.9994	1892.7602	1626.8294	2717.4342	2740.7712	4948.0325	6168.3244	3210.4429	1046.2062	4513.9928	3930.4478	1883.7665	1127.6382	1855.2188	4257.5691	3202.4427	2705.9002	2770.2595	3271.8453	998.4408	1374.6108	1638.2106	1513.5022	2709.1778	1310.0342	1317.1058	1067.687	2785.0187	1853.1212	1458.232	2033.7786	4401.535	1503.4457	1888.7654	4917.0347	801.9624	2710.1933	1788.4656	2588.4475	2389.5292	2621.0501	1481.6494	3201.0485	1353.1151	3688.5338	3115.982	1742.2923	2967.2254	1038.4345	3961.4591	3370.6776	2100.884	2117.0006	2053.9325	850.9067	2023.0134	1633.6247	2258.4798	3153.9496	814.9167	2651.2079	907.6186	2169.1131	2059.9368	1987.4445	850.6142	3439.1603	6764.2204	2392.6257	2106.3933
"PWY-7527"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PWY-7539"	12874.0519	11495.8318	13857.1387	12243.3055	14305.0527	9831.9604	21366.1336	24793.7189	8703.3519	8125.225	19248.4237	12183.0137	8927.4835	11689.2902	10217.0726	13160.7741	11162.5337	13318.9335	14993.4943	11203.9548	9203.5562	8623.368	7935.4217	8023.8699	11039.295	9618.2142	11606.2999	10230.5893	13385.4418	13270.6114	9886.1141	8583.477	10287.4748	10629.9462	15248.2375	12756.3943	12678.2291	11565.0935	8002.1771	12450.5371	7669.389	8097.9793	6291.7669	8263.9159	10641.9891	13398.3756	7957.0285	7679.7458	10177.0153	4102.7075	8846.2552	9931.9019	5736.111	11841.1206	5153.5196	8459.9617	9597.5377	6505.9685	9574.3447	10162.2151	5457.4169	11370.9725	7085.2999	7758.937	11294.3537	7562.2992	4580.5617	7973.5208	13732.1334	14416.5202	11626.789
"PWY-7560"	22629.3476	23967.6317	20298.87	22402.3693	24305.0732	17234.887	39083.2433	44923.5588	12324.4686	15294.8463	26767.8026	19144.2737	13530.1536	18297.5396	16803.5561	18960.2904	15785.4747	22300.8251	21788.3601	21515.946	16942.1359	14723.7748	11886.7128	13138.7656	18761.4098	15193.9781	20395.4687	15200.7423	25133.9918	25846.9948	20376.9132	15581.1649	20303.0472	25497.1141	25947.6289	15578.5051	25706.8978	14041.3144	10923.5897	19114.2727	13206.8241	13036.4118	11664.3037	11349.5719	18214.0457	17313.813	10536.231	10704.3986	12678.9661	6715.5017	11583.6463	12841.0527	8009.8708	17381.9281	8530.8853	11639.5126	15901.4608	8728.788	14060.2417	13392.7302	7024.1823	12310.5519	11857.3079	9557.0778	21033.6503	11960.8729	6541.3644	10956.6377	17707.2754	30799.0028	14951.9069
"PWY-7616"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PWY-7663"	26942.3478	28172.5807	23845.3055	33975.5279	28421.0901	26219.2609	52286.0949	94870.0969	37363.5337	23596.7307	33129.5862	24074.2588	22052.6111	25655.0211	27830.106	23983.4609	19455.0712	31459.5922	28633.832	29609.1687	18711.2007	23268.7768	24603.6373	21587.7849	24298.5887	25431.7017	38032.6156	31743.2298	44624.0552	35365.921	27335.794	18778.726	24652.4778	29910.5286	35014.6491	31858.5734	34912.369	21048.4725	33733.2725	23040.8121	38889.6503	20994.8869	33487.2406	28909.2678	34688.8286	24222.8189	18316.9659	20186.5684	31116.8162	20526.0975	19875.1422	18777.3243	18925.5296	23454.2104	17943.1815	13954.5402	33124.049	24003.2267	28327.1662	21399.8964	18542.9722	19512.3443	26505.3751	30698.3675	33536.7186	35754.6532	16004.4959	19870.062	23409.1101	37392.4705	30786.0792
"PWY-7664"	360.6751	48.9417	263.6427	143.7807	170.102	356.1071	574.8827	813.6912	215.4377	268.0885	974.4325	1261.9874	171.2791	147.8124	113.0834	122.0726	253.5651	485.6066	330.9102	74.0731	381.0334	75.4316	131.1167	68.4504	89.409	316.4719	129.8945	210.3298	171.7442	132.6593	149.2397	202.8892	251.9763	81.7291	129.869	653.2092	55.9384	474.8303	145.1663	96.3243	249.1445	165.6955	211.6648	111.7008	518.1969	845.9232	605.0267	253.9768	367.9846	39.1483	108.3017	164.8974	477.3503	435.3289	17.4883	426.2484	99.1947	102.5956	67.0902	174.0185	177.3201	167.2226	141.2299	332.47	149.3416	157.7191	199.8643	205.7241	919.5645	354.6862	380.3381
"PWY-841"	12888.4416	11790.7309	10613.9071	23908.7376	15466.7351	19535.1517	32902.6373	80285.1949	34509.5656	16838.4513	17953.7678	15387.1058	16683.7252	14930.8319	22317.4944	15115.8741	10606.4965	19575.3148	17937.1225	20191.3121	7519.7671	16343.3669	21172.2626	17321.9484	15744.1636	20064.204	30079.2884	26254.6157	35242.1946	22171.7397	17064.797	9889.6963	13827.9237	15183.0341	22502.8947	27738.5693	20955.6587	16095.9256	31209.2496	14080.8193	35705.4214	16243.5796	30261.9834	26054.252	28223.6543	16828.3331	15535.7002	16410.5543	26001.9692	19286.7345	16262.4184	13376.0488	16613.9991	15997.7217	15744.2498	11054.3312	27320.7668	22095.6628	24477.3534	17053.3789	16871.6336	16237.8393	22556.0187	28739.8449	24789.0859	32693.3681	14089.5779	16612.0648	17875.5571	18251.8357	26653.4754
"PWY-922"	2209.9198	2928.5013	1592.6408	9664.6764	1793.4496	7517.6158	13196.2439	36878.7092	8890.7709	6855.2243	3187.1061	4039.2116	7228.9535	7409.2313	8746.9173	3579.092	3404.8771	10195.5832	5914.2859	6746.4387	899.7265	7398.6246	7294.8926	6656.8865	3961.7265	8120.1195	13209.3689	10436.736	15520.7031	7410.3879	5817.2345	2615.0057	4264.9052	3227.3383	7788.8748	8373.8889	7995.5276	4601.7717	6995.2119	2024.9886	13523.1453	8432.098	12189.5331	7460.1028	11661.3821	4634.2797	5565.2016	7191.1059	14783.6134	5865.0089	5586.1325	6009.4906	11262.477	5434.9667	5610.3073	3004.041	12956.598	4805.9682	8486.1087	5450.2684	4279.1531	3361.4192	8982.7474	3792.9455	10541.9318	9665.6751	4803.2804	7423.2383	4805.8984	3753.8064	9919.086
"PWY0-1061"	429.9769	485.2834	1865.0165	834.0838	3797.044	1431.3607	1957.0599	3720.2443	285.3643	765.8734	5527.5852	2036.454	484.0466	2420.6841	828.588	982.4322	714.5366	1060.319	952.8597	2228.2611	2518.1611	728.5577	2052.8126	803.7186	1593.4332	297.0889	3650.6897	1187.8628	499.9938	2291.2493	1341.5345	551.8568	298.9749	359.5715	1121.5488	391.3046	333.2487	947.003	296.623	3127.536	778.3201	1309.3161	903.9406	215.1538	520.6554	3421.3142	1063.265	396.6378	714.0512	885.9313	687.8328	440.8372	562.9168	1325.6167	2731.9844	2557.6441	689.1499	1465.5631	2135.7899	2664.2375	349.4666	717.2641	1806.0849	137.9443	558.8882	371.9823	363.5615	315.2687	467.5165	600.2361	395.2195
"PWY0-1241"	938.8988	740.1526	1208.3278	1326.9143	2990.7831	2116.8699	1908.7026	4205.407	438.8024	808.494	1978.0656	2248.711	1073.5851	259.7143	2286.5482	2326.5776	681.7728	623.9132	919.733	1348.8675	327.7547	438.4449	1841.4749	2070.1869	2738.3925	1403.684	815.7216	435.6865	2006.8151	1904.9486	1818.884	876.3417	639.3603	3292.3813	1660.3655	742.6453	532.4473	458.6164	222.395	2265.9409	588.6719	842.0093	757.4491	315.1246	502.8429	1159.7167	1212.7766	544.3304	102.9534	191.0373	463.0863	420.1532	277.7014	654.7535	1459.3759	514.7928	414.505	1063.6677	1603.164	1449.9271	212.5427	542.3056	361.6552	183.7492	1200.8079	273.8347	200.8948	282.8988	584.7513	1824.6901	771.7151
"PWY0-1261"	5032.0803	792.0011	1674.861	1940.3826	2685.3991	2988.4747	2251.5455	7524.2225	2546.6924	1454.9506	5299.7037	3136.0237	1565.5132	892.7586	1506.7687	3638.2451	3478.9382	2892.3536	1386.4421	3054.8016	2027.5606	793.4515	907.1848	967.4025	1902.2097	2588.6963	5384.7824	1713.02	2682.7075	5680.9838	2877.9291	2764.0029	4274.911	4579.0609	906.5935	8550.0227	1331.5404	2365.1179	1904.6237	3316.2608	4340.3922	1140.2002	1689.6782	2393.9209	3037.4847	7384.6318	1538.7484	1857.8281	2157.9458	1030.5769	3343.4944	2745.2497	1362.2487	12081.2799	2477.0327	3543.6359	1673.2977	1364.8764	1536.4379	1552.34	1478.6667	857.6798	3677.2771	2953.3342	2390.8484	2177.1742	1407.2304	2362.9839	6679.6341	4967.4797	2901.2699
"PWY0-1277"	0	0	0	0	0	0	0	14.2727	0	0	0	0	0	0	0	2.0853	0	2.9822	0	0	0	0	0	0	1.3972	0	0	3.2702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.625	0	0	0	0	0	0	0	3.8766	0	4.1434	24.3434	0	0	0	0	0	0	0	7.9596	0	7.6691	0	0	0	0	0	0	0
"PWY0-1296"	17898.871	22123.0739	16967.275	26041.0568	18944.7883	19265.9401	38658.7866	76811.0878	29989.6236	18939.4001	22749.4924	16424.4495	17121.7151	20480.6427	20823.9438	16528.9658	13454.2934	25189.3715	19784.4921	21442.7024	13711.0514	18300.2564	17960.4387	15913.7281	16175.6739	17909.1997	31162.0174	24381.9013	34196.7854	28081.8757	20839.5013	15505.2815	19330.4373	26103.1132	24927.4406	21695.6349	27786.2419	13061.8571	26682.3838	14228.2774	30533.5982	15955.4804	27643.5942	22758.2373	28177.1335	15844.0783	13063.6396	15761.0485	25292.7119	17071.8098	13612.281	13136.7319	15628.7325	15571.3124	12663.5357	9101.6744	26633.4902	17846.7845	20077.8198	12873.5365	13846.2228	9847.2635	21359.2595	23434.1901	24779.0013	27939.957	12154.3768	15630.956	14050.2316	31631.6659	21619.4698
"PWY0-1297"	11415.7665	16801.6315	10923.448	20648.2038	15513.0852	15366.1424	29457.2822	67362.8381	28403.5631	15297.9691	16232.2327	12160.8483	14376.8424	16708.9494	16602.1934	12105.0999	10177.7226	22668.6503	13754.6391	15024.0398	8914.1456	16316.6003	16155.528	12645.968	11211.8766	14913.9492	27459.8564	21990.5658	28646.5711	21126.1468	13931.4954	10713.4993	13964.4628	18666.2329	18424.2092	19960.8053	23413.9542	10768.3021	25362.8527	11493.0174	29491.4815	14442.3943	25535.8991	21241.8767	24958.2607	12629.924	12062.5267	14161.261	23605.932	16136.4362	12300.2116	11458.245	15961.1729	12332.6778	11443.4547	7026.2482	25101.6817	16963.4606	17968.724	11058.3364	13139.5106	8480.5661	19512.1257	22701.7754	19820.7627	26481.7351	11123.8752	14468.7086	11326.8988	25785.4042	19782.0796
"PWY0-1298"	11773.8368	17380.104	11265.1907	20434.4961	16034.1465	15119.3519	30018.5761	61923.1132	27386.3616	14838.7127	16633.6211	12147.4671	13959.5322	16989.7916	15921.7559	12526.6617	10274.7691	23162.9598	14242.7752	15438.1801	9170.6262	16309.7897	15162.4615	12159.2635	11277.6865	14392.7072	25621.2892	20650.0523	27375.2336	21080.7101	14102.2502	10633.495	14074.7946	18125.7273	18593.2724	18663.1651	23686.5468	10711.988	24444.6427	11796.9802	28580.2403	14156.0756	24239.0269	20269.0354	23463.4135	12627.7225	11190.0318	13299.5745	22444.9176	15540.98	11640.3798	11287.1649	14864.7845	12572.265	10881.7195	7002.5729	23583.1967	16318.5505	16815.988	10821.8271	12588.9286	8342.8902	18492.859	21962.2249	19453.2878	25459.3592	10590.8316	13136.8587	11303.1226	24408.0133	18352.3216
"PWY0-1319"	26555.5748	29811.0897	23460.0932	34566.759	28300.9225	26152.0347	55054.7563	95476.4139	37033.8025	23842.7675	31798.5191	24288.7218	22629.4935	27487.459	27484.1083	23669.9273	20043.8901	34637.5976	28378.6231	29940.3631	19312.5408	24046.0955	24206.769	21404.1818	24070.1288	24747.1765	38481.2266	31678.2872	44976.814	36175.6483	28081.1902	19693.4984	26268.2034	31638.3066	35438.9597	29721.3014	36644.8139	19178.5174	33286.0969	22216.8443	38150.952	22680.8544	33593.8894	28539.8172	34317.97	22709.8371	18438.0076	20704.3209	31362.8025	20662.2223	19063.8538	19311.2623	21759.6061	23892.6539	17784.4561	13735.7651	34111.1333	23274.9554	27611.4028	20159.9845	17899.4752	16572.6976	26560.4354	29843.6609	33672.4789	34944.8029	15518.2916	20178.4305	22134.3509	37689.6454	29843.8125
"PWY0-1338"	0	0	0	0	0	0	0	17.1326	0	0	0	0	0	0	0	2.4983	0	3.5733	0	0	0	0	0	0	1.6745	0	0	3.9209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.8108	0	0	0	0	0	0	0	4.6282	0	4.9852	11.7464	0	0	0	0	0	0	0	9.488	0	9.1078	0	0	0	0	0	27.4224	0
