Merged_ID,Date of Experiment_Day_1,Date_Imaged,Exclude,MouseID,Genotype,Sex,"Plate (P1, P2, etc.)","Section (A,B,C,D,E,F)",Stitch.tif found? ,Comments,Category,Area,Mean,Min,Max,IntDen,RawIntDen
2.9.23_P4_B,2.9.23,2.20.23,No,21,MUT,Male,P4,B,TRUE,,Ipsilateral,1157960,39.18,0,255,45368749,45368749
2.9.23_P4_B,2.9.23,2.21.23,No,21,MUT,Male,P4,B,TRUE,,Ipsilateral,1195794,40.798,0,255,48785731,48785731
2.9.23_P4_C,2.9.23,2.21.23,No,16,HET,Male,P4,C,TRUE,,Background_1,9044,14.344,0,91,129728,129728
2.9.23_P4_C,2.9.23,2.21.23,No,16,HET,Male,P4,C,TRUE,,Background_2,6336,17.124,0,109,108497,108497
2.9.23_P4_C,2.9.23,2.21.23,No,16,HET,Male,P4,C,TRUE,,Background_3,11064,15.934,0,130,176297,176297
2.9.23_P4_C,2.9.23,2.21.23,No,16,HET,Male,P4,C,TRUE,,Background_4,8184,17.537,0,109,143519,143519
2.9.23_P4_C,2.9.23,2.21.23,No,16,HET,Male,P4,C,TRUE,,Contralateral,1694781,49.674,0,255,84187184,84187184
2.9.23_P4_C,2.9.23,2.21.23,No,16,HET,Male,P4,C,TRUE,,Ipsilateral,1765386,28.211,0,255,49803487,49803487
5.15.23_P1_A,5.15.23,6.9.23,No,1920,WT,Female,P1,A,TRUE,,Background_1,9676,16.591,0,98,160533,160533
5.15.23_P1_A,5.15.23,6.9.23,No,1920,WT,Female,P1,A,TRUE,,Background_2,8920,16.411,0,151,146389,146389
5.15.23_P1_A,5.15.23,6.9.23,No,1920,WT,Female,P1,A,TRUE,,Background_3,9516,16.113,0,90,153329,153329
5.15.23_P1_A,5.15.23,6.9.23,No,1920,WT,Female,P1,A,TRUE,,Background_4,7696,17.753,0,95,136624,136624
5.15.23_P1_A,5.15.23,6.9.23,No,1920,WT,Female,P1,A,TRUE,,Contralateral,1204974,36.294,0,255,43733590,43733590
5.15.23_P1_A,5.15.23,6.9.23,No,1920,WT,Female,P1,A,TRUE,,Ipsilateral,1067061,37.364,0,255,39869194,39869194
5.15.23_P1_B,5.15.23,5.17.23,No,1920,WT,Female,P1,B,TRUE,,Background_1,17196,16.036,0,114,275751,275751
5.15.23_P1_B,5.15.23,5.17.23,No,1920,WT,Female,P1,B,TRUE,,Background_2,17196,18.25,0,137,313835,313835
5.15.23_P1_B,5.15.23,5.17.23,No,1920,WT,Female,P1,B,TRUE,,Background_3,17196,18.147,0,110,312063,312063
5.15.23_P1_B,5.15.23,5.17.23,No,1920,WT,Female,P1,B,TRUE,,Background_4,14536,12.115,0,82,176108,176108
5.15.23_P1_B,5.15.23,5.17.23,No,1920,WT,Female,P1,B,TRUE,,Contralateral,1074264,30.016,0,255,32245190,32245190
5.15.23_P1_B,5.15.23,5.17.23,No,1920,WT,Female,P1,B,TRUE,,Ipsilateral,1080618,29.712,0,255,32107696,32107696
5.15.23_P1_C,5.15.23,6.11.23,No,1913,MUT,Male,P1,C,TRUE,,Background_1,6636,21.07,0,104,139821,139821
5.15.23_P1_C,5.15.23,6.11.23,No,1913,MUT,Male,P1,C,TRUE,,Background_2,8392,13.887,0,119,116543,116543
5.15.23_P1_C,5.15.23,6.11.23,No,1913,MUT,Male,P1,C,TRUE,,Background_3,6336,17.444,0,181,110527,110527
5.15.23_P1_C,5.15.23,6.11.23,No,1913,MUT,Male,P1,C,TRUE,,Background_4,5272,17.517,0,140,92347,92347
5.15.23_P1_C,5.15.23,6.11.23,No,1913,MUT,Male,P1,C,TRUE,,Contralateral,1139478,38.13,0,255,43448199,43448199
5.15.23_P1_C,5.15.23,6.11.23,No,1913,MUT,Male,P1,C,TRUE,,Ipsilateral,1134318,30.183,0,255,34237056,34237056
5.15.23_P1_D,5.15.23,6.11.23,No,1913,MUT,Male,P1,D,TRUE,,Background_1,7356,17.794,0,127,130893,130893
