Batch,MouseID,Day,No_Move_Object ,Move_Object ,Genotype,Sex,Treatment,Percent_Investigation_Time,Discrimination_Index,Day_Treatment
Five,513.00,Testing,16.5,6.1,MUT,Male ,Saline,26.99115044,-46.01769912,TestingSaline
Five,505.00,Training,31.7,49.5,WT,Female,Saline,60.96059113,21.92118227,TrainingSaline
Five,494.00,Training,28.9,14.2,WT,Female,Saline,32.94663573,-34.10672854,TrainingSaline
Five,505.00,Testing,79.8,14.4,WT,Female,Saline,15.2866242,-69.42675159,TestingSaline
Five,494.00,Testing,22.4,19.7,WT,Female,Saline,46.79334917,-6.413301663,TestingSaline
Five,514.00,Training,14,31.9,WT,Male ,MPTP,69.49891068,38.99782135,TrainingMPTP
Five,507.00,Training,18,20.9,WT,Male ,MPTP,53.72750643,7.455012853,TrainingMPTP
Five,508.00,Training,24.6,18.2,WT,Male ,MPTP,42.52336449,-14.95327103,TrainingMPTP
Five,514.00,Testing,18.9,13.1,WT,Male ,MPTP,40.9375,-18.125,TestingMPTP
Five,507.00,Testing,15.8,17.3,WT,Male ,MPTP,52.26586103,4.531722054,TestingMPTP
Five,508.00,Testing,16.2,18.4,WT,Male ,MPTP,53.17919075,6.358381503,TestingMPTP
Six,612.00,Training,58.3,13.4,HET,Male ,MPTP,18.68898187,-62.62203626,TrainingMPTP
Six,613.00,Training,10.7,19.3,HET,Male ,MPTP,64.33333333,28.66666667,TrainingMPTP
Six,612.00,Testing,47.4,12,HET,Male ,MPTP,20.2020202,-59.5959596,TestingMPTP
Six,613.00,Testing,11.3,21.5,HET,Male ,MPTP,65.54878049,31.09756098,TestingMPTP
Six,596.00,Testing,58.5,8.5,HET,Male ,Saline,12.68656716,-74.62686567,TestingSaline
Six,597.00,Testing,2.6,2.2,HET,Male ,Saline,45.83333333,-8.333333333,TestingSaline
Six,595.00,Training,27.2,39.5,MUT,Female,MPTP,59.22038981,18.44077961,TrainingMPTP
Six,609.00,Training,46.7,13.1,MUT,Female,MPTP,21.90635452,-56.18729097,TrainingMPTP
Six,595.00,Testing,25.1,34.8,MUT,Female,MPTP,58.09682805,16.19365609,TestingMPTP
Six,609.00,Testing,18.7,32.2,MUT,Female,MPTP,63.26129666,26.52259332,TestingMPTP
Six,611.00,Testing,38.9,11.8,MUT,Male ,MPTP,23.27416174,-53.45167653,TestingMPTP
Six,590.00,Testing,12.9,6.9,MUT,Male ,MPTP,34.84848485,-30.3030303,TestingMPTP
Six,586.00,Training,6.2,4.5,MUT,Male ,Saline,42.05607477,-15.88785047,TrainingSaline
Six,587.00,Training,14.7,4.8,MUT,Male ,Saline,24.61538462,-50.76923077,TrainingSaline
Six,583.00,Testing,14.1,26.4,MUT,Male ,Saline,65.18518519,30.37037037,TestingSaline
Six,585.00,Testing,24,30.6,MUT,Male ,Saline,56.04395604,12.08791209,TestingSaline
Six,586.00,Testing,7,27.7,MUT,Male ,Saline,79.82708934,59.65417867,TestingSaline
Six,587.00,Testing,34.3,9.2,MUT,Male ,Saline,21.14942529,-57.70114943,TestingSaline
