"Julianne.331.CEC_S246_L001_R1_001_F_filt.fastq.gz"	"Julianne.337.CEC_S242_L001_R1_001_F_filt.fastq.gz"	"Julianne.351.CEC_S244_L001_R1_001_F_filt.fastq.gz"	"Julianne.547.CEC_S233_L001_R1_001_F_filt.fastq.gz"	"Julianne.579.CEC_S234_L001_R1_001_F_filt.fastq.gz"	"Julianne.582.CEC_S243_L001_R1_001_F_filt.fastq.gz"	"Julianne.604.CEC_S235_L001_R1_001_F_filt.fastq.gz"	"Julianne.716.CEC_S231_L001_R1_001_F_filt.fastq.gz"	"Julianne.719.CEC_S245_L001_R1_001_F_filt.fastq.gz"	"Julianne.891.CEC_S220_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.536.CEC_S103_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.544.CEC_S179_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.856.CEC_S172_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.872.CEC_S125_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.842.CEC_S117_L001_R1_001_F_filt.fastq.gz"	"Julianne.542.CEC_S232_L001_R1_001_F_filt.fastq.gz"	"Julianne.667.CEC_S236_L001_R1_001_F_filt.fastq.gz"	"Julianne.717.CEC_S230_L001_R1_001_F_filt.fastq.gz"	"Julianne.841.CEC_S278_L001_R1_001_F_filt.fastq.gz"	"Julianne.853.CEC_S280_L001_R1_001_F_filt.fastq.gz"	"Julianne.899.CEC_S221_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.661.CEC_S111_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.835.CEC_S158_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.840.CEC_S109_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.882.CEC_S165_L001_R1_001_F_filt.fastq.gz"	"Julianne.663.CEC_S241_L001_R1_001_F_filt.fastq.gz"	"Julianne.791.CEC_S229_L001_R1_001_F_filt.fastq.gz"	"Julianne.838.CEC_S281_L001_R1_001_F_filt.fastq.gz"	"Julianne.847.CEC_S279_L001_R1_001_F_filt.fastq.gz"	"Julianne.923.CEC_S223_L001_R1_001_F_filt.fastq.gz"	"Julianne.924.CEC_S224_L001_R1_001_F_filt.fastq.gz"	"Julianne.962.CEC_S222_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.540.CEC_S119_L001_R1_001_F_filt.fastq.gz"	"Rep1.Julianne.858.CEC_S171_L001_R1_001_F_filt.fastq.gz"
"GLUTORN-PWY"	13342.3227158915	9061.95280370216	6102.99791122183	10936.2591373799	12383.823562236	4957.14509357391	3341.91464851961	6693.02324858043	6916.28071815443	4691.78274554411	7478.07089911199	6740.78414965294	4182.08186565019	10363.9722360296	4345.25711080154	5597.74169138571	4949.70485136445	6044.17573194634	4681.52173004316	5982.14177254319	6302.90668598997	4060.11548083331	1648.2144832498	3883.24918558123	5797.99341222791	5285.18437073746	5982.02079845986	5619.28080955391	10064.5411404401	6218.02639570612	7094.22951651635	11455.4248975152	3893.04081910385	5207.77364493545
"GLYCOCAT-PWY"	22591.9940492904	13894.0641170333	10434.5638805005	17239.5619181588	19877.0651689262	8545.52966184021	5580.73893180181	11884.3835579868	11759.7485122519	7791.17364385694	11575.4400771175	10553.4399745161	6577.67196474525	15261.1043889822	7761.2317659738	10416.2147099971	8595.04071438934	9807.04022446174	8862.97509685675	11358.8752907426	11208.5725078528	6598.81198788529	3668.73285180116	6316.74099537048	9721.32646048897	9376.54108559106	10016.5480182892	10393.9541487845	16399.4921293806	9681.57938604583	11131.9746807795	17069.4921755465	6390.79258819215	9608.22971960126
"GLYCOGENSYNTH-PWY"	22992.092416277	13086.6823074654	10225.4152793392	17070.4953388271	20414.1813525749	9271.39952594897	5423.23578717178	11497.2165282897	11755.5447916527	7437.62130418377	11666.4591233551	10390.4383048398	6818.87723184056	14687.9616555225	7974.9537993238	11084.3760649102	8035.82183771207	9670.29853226062	9626.25626295189	12921.3739563876	11408.1699632148	6794.42451682282	5127.38952823385	6103.03633676176	10190.3449974924	9772.97507400968	10216.2420747684	10949.8913624456	12581.4512844299	9502.39292616654	11071.2117350426	16209.9433601459	6003.45928697437	10325.5208571296
"GLYCOL-GLYOXDEG-PWY"	584.221823641807	164.616540718241	195.005477849679	139.14643186651	365.053377991492	235.402909639136	127.057445363656	367.977087942903	371.802612284327	116.320408391908	133.649378592013	184.366340448844	61.0281015153109	181.878288940895	122.140952553389	45.3514273312661	78.0313202778881	281.731069927905	258.139172221811	55.4600418542549	261.751898917397	86.534192307247	12.9206758142509	307.67986162033	147.348717967708	110.702138346964	113.987169903366	247.103787016419	1200.85764124087	260.50343074292	141.312256981712	182.239072113956	263.764791909572	49.1020202856995
"GLYCOLYSIS"	23416.1114345945	11243.285722101	10522.5959918378	14839.3433466639	22118.7346889448	10275.4576912756	5246.71622508311	12643.3779715636	12561.6529363034	9606.93646159768	12051.8052585324	9435.55781030704	6552.67599441922	13877.873641539	9302.59515193651	11709.9588076484	8730.28141016848	9775.28190141438	10376.2790157067	12978.581068846	14107.1090737981	7019.78689026229	6041.76896731785	6778.25582445362	10425.1498870771	9831.32611293301	9787.58059663913	12619.4646991578	16956.9327794327	10951.1245871852	9813.18019358445	13137.3634019881	6458.70107327522	9939.41346641034
"GLYCOLYSIS-E-D"	9051.97367108465	2985.01336215555	3211.22437256452	3274.55417713805	7294.35439201063	3952.18532024921	2160.25581075053	5378.4865497674	7019.99870448682	3492.7233391231	3208.16813384929	4755.57803387963	1263.32763243637	2994.22636816473	2317.97132980717	1444.95266329107	1708.44296334719	4922.72746301821	4097.3315891073	5306.70928650714	5443.39725117982	1781.56287214429	481.396739588903	4940.70336158487	2803.61427584044	2731.54452617804	3302.59779972467	4468.26862450408	12280.1286721932	4762.26971435313	3128.97196080642	5380.46434044635	3101.11145033212	3097.28282850402
"GLYCOLYSIS-TCA-GLYOX-BYPASS"	0	26.405785659808	0	0	1191.95200904895	835.069920943474	0	0	0	0	485.020993102174	0	0	51.352764440189	0	0	0	0	0	0	0	285.370689360951	4.3139773868844	0	43.2235357441637	0	0	0	178.346682772212	0	0	0	0	0
"GLYOXYLATE-BYPASS"	664.946202613261	193.631349924489	205.025151022029	143.235549504868	393.961907016217	248.89592555112	174.918870650211	420.810335372173	657.062022075161	124.19773752196	140.14692047163	427.920310533903	65.0924246851792	185.95748224709	125.408041110688	45.7595775781341	80.8558913966977	425.610047980353	290.998492933161	366.122838631716	285.929694700284	90.5202813835241	12.9374152438908	927.464883164506	164.947681350426	151.231895209918	204.941741574806	257.014150505109	1432.39118682263	296.959806009991	174.867070185228	228.263325675291	299.168303753911	198.784849181889
"GOLPDLCAT-PWY"	1571.57657662001	337.625309575581	1055.89624542559	866.920669513154	921.373958182422	1006.63677042618	196.126864417854	878.481236705448	368.726675537109	701.451076777294	691.199839645808	241.305568616528	345.62613058618	520.125408942203	1039.99578285285	1377.41128856033	482.131432596718	369.750614594095	690.935220604102	254.976938234241	1250.8675590598	469.174371564158	414.439063121778	277.45734844422	531.264695759174	135.587560824406	198.135913002848	1536.22455453085	99.9163933850393	326.253167772724	287.366606322856	221.332631047077	283.941167465026	176.387750270406
"HCAMHPDEG-PWY"	0	0	0	0	0	0	0	0	0	0	0	0	0	6.54545454545455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.1345454545455	0	0	0	0	0
"HEME-BIOSYNTHESIS-II"	256.941975138927	850.865198240041	29.8211415813895	175.885234056535	821.180881639406	437.173296979743	439.391557841013	889.165399405087	119.431428048235	29.7205824562872	272.89928715582	396.834053818108	21.8121713657923	15.9336258719223	23.833320054397	9.98314834018184	17.8807860669509	25.8227553969032	68.5649009310311	59.526858389824	23.8882801191414	161.113861542436	56.7778546992414	35.3184481040106	47.4884875692957	61.2717508359486	76.7895652994047	47.6276700974283	535.209488802427	25.7820151372734	35.6155073252459	218.330734392322	120.115572920435	55.4894569656964
"HEMESYN2-PWY"	5482.40011120171	1093.47008477911	2851.28470171514	2790.00684515683	5067.8710261573	3175.19148295785	755.033273577713	2469.03063587506	3246.35784587823	1940.8571299544	2242.06329686744	2067.61536313712	1540.378590101	2139.60515799648	2037.64705391565	3612.62622366103	1503.62024897397	2095.02771087786	1988.62305278577	4532.05173772284	2878.35635185464	1410.90907497593	1053.85034544339	1009.05289150174	2661.44370112301	2993.23165568913	2760.71627571938	3707.21557105143	2976.81509552982	1747.28349534632	1852.78978955142	1155.35256159197	1077.02993946579	3575.32567073146
"HEXITOLDEGSUPER-PWY"	5372.61414870832	730.791047491884	2010.83572258508	2163.51259936185	2804.76131319133	1901.28709283803	453.885037241174	3061.25374395425	3214.78866056941	519.408058476339	1432.74104348242	2422.50724326207	380.178690371235	542.557930331385	1668.27567510159	1326.5236005877	1587.63706903099	1452.56211424344	2032.40610315167	1813.44620480274	2170.18546625056	823.817096773813	213.22582076949	1303.88954627052	1322.23672795106	1598.63408914777	1720.82231041349	2912.06295761752	313.162796414639	1278.31443259765	968.645690669549	2161.31201518487	344.359115620108	2472.4684454973
"HISDEG-PWY"	1799.0062759364	1280.3388817862	462.01325000415	875.571542143263	2660.54035169424	1075.58854620922	453.957776590059	1152.00658941711	516.065433232837	701.445378306415	1154.65200609028	582.451448025347	374.883546893646	461.018418493304	285.815722248032	527.299185642404	289.78454520276	368.164756816506	498.069578241028	432.2854543308	1110.22329782787	470.066347657747	347.667126283301	474.377951497982	1023.24231199252	784.955695041042	690.669183691314	1280.88781249294	7717.20594836195	545.6186775779	622.499855755361	1526.36055423521	340.968440594059	598.275191139533
"HISTSYN-PWY"	15109.1570302004	9644.11463754407	7031.44126809377	11490.5850264343	14582.0163451728	6202.3895157515	3722.6569042957	8255.95763061426	8697.75973984437	6071.47792469702	8631.92026376403	7031.88954195305	4617.98795864452	10672.5850182109	4856.96707661435	6707.0920792128	5509.58599837483	7057.26690840685	5855.54828838655	7347.18725923026	7701.18165126023	4640.22065843582	2097.92303683492	4352.67628896688	6836.01346765375	6317.36274584552	6901.09292218565	6826.0879146151	12844.3878483388	7244.59530911986	8175.67360406793	12563.4338752865	4560.29079114441	6109.27818997182
"HOMOSER-METSYN-PWY"	3623.61161907274	4727.99146039666	2146.37386709891	6050.48283607901	2425.52873136895	2379.235327926	725.998499033785	1873.3510438261	935.754725611447	1398.91810485912	3285.44897910225	3145.43181925442	1670.15074715242	5533.05467327412	2338.10675487911	2762.74264611354	1402.47546706078	780.41985737056	1547.76734692771	607.29451629213	2147.73647702233	1828.76861220241	1551.93483814693	585.204904775135	1305.90078417117	395.998687244855	534.846591037387	3238.50947088905	333.432050704903	1860.78631276541	1473.85911633748	2264.65794331709	1558.23459962321	214.577059658652
"HSERMETANA-PWY"	3720.50535514311	733.052295295909	2201.9701573659	3367.39302306793	2469.35967572819	2425.08866625867	432.288883551842	1913.98826276427	1004.53921129864	1426.33854170282	2201.70953533924	1191.29872113635	663.827363809108	2594.62491145534	2421.13904702585	2811.66318262888	1443.72681379876	789.018954228189	1585.79994361469	504.677716915908	2195.97552433334	1302.14564995903	1486.5445756681	596.274396802047	1105.21907419759	397.677851374701	446.695673966784	3302.40594501137	4113.89791474001	1923.83919127822	1508.45705260551	2314.30633011169	1636.43104589782	346.377019472883
"ILEUSYN-PWY"	22032.8775334761	13234.7993450687	10060.106487881	16261.9628700476	20266.776445375	8393.59228154688	5424.90660149118	11656.6932463141	12430.5937307508	7821.07311791534	11568.5340894043	10446.0157640626	6211.30876796176	13654.7786571587	7166.47303139037	9904.33101535005	7626.73075781717	9768.3306595794	8380.5745796099	10929.7994553641	10778.0632983259	6389.37461114161	3069.8499181705	6047.2729749328	9572.28477232022	9285.79628894063	9883.84324787543	10365.2145820626	17582.4203498075	9324.17415099876	10948.9003123654	16533.4570348199	5791.26981999837	9839.51200942633
"KDO-NAGLIPASYN-PWY"	0	0	0	0	0	0	0	0	0	0	0	0	0	46.2058693364051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159.762481156003	0	0	0	0	0
"KETOGLUCONMET-PWY"	0	0	0	0	0	0	0	0	0	0	0	0	0	10.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LACTOSECAT-PWY"	2732.93420057001	1175.53922620996	1502.44717020424	1473.72282953416	4420.686491865	2915.59028363999	741.453513654676	1834.76035042745	2461.74406380694	2525.90933649433	1615.90877133105	1464.03081850038	1059.35889295011	1009.79736526946	2734.58475152134	3004.83242014663	2078.65483380145	1668.42772139113	1592.07187443158	4167.57328448661	3623.38599626336	1041.63188924506	1903.36534409258	1178.15058617549	1993.79149923486	2458.97995207974	2103.42714030598	3816.56386291273	1689.78944343777	1601.00961356153	1213.92569656781	748.794938395068	663.667128987517	3226.05432537176
"LEU-DEG2-PWY"	37.7913385455355	0	0	14.5090152659862	15.2749080712534	0	0	0	0	0	0	0	10.8618633619481	0	9.05347871297143	0	0	8.45767146934688	4.38399515741729	4.87797661114256	22.1480023435054	0	0.995569470283781	0	25.0477516422898	0	0	0	0	9.35455348395066	0	5.92462458848686	0	0
"MET-SAM-PWY"	5253.35952867603	6106.18636061716	3028.16000344179	7950.75391124985	3588.5601656232	3371.59105856667	1055.95976261527	2710.64356953584	1407.03816844178	2049.54110024987	4521.77143921442	4203.52703381299	2300.57981127519	7100.1052639964	3300.9506702021	3903.32973599497	2029.69324985031	1169.89710106152	2276.37312172794	928.613120984767	3151.4333760799	2532.45408081208	2368.29540931945	876.344429857588	1918.54616460638	604.482070724058	810.782105372135	4564.24529420787	513.687329740459	2666.245507307	2133.90012237725	3284.05842382591	2162.22796890391	330.645098331353
"METH-ACETATE-PWY"	2412.14659419967	626.451113167563	1271.87539659648	1322.02578750336	1554.12230403757	533.942912659744	622.394100328744	1514.97722243798	424.757741498302	296.367935109488	938.39668853448	981.559953294895	415.535034365452	817.063982722864	413.621289504385	633.929180564447	708.960403254358	663.084733067244	374.390805937401	738.925600769298	1213.93921631586	566.566331327342	183.647776031022	563.921829585156	552.954887856845	1441.44852055857	1395.35156706502	690.018154926683	3691.06218416235	1211.22829548032	701.677952182876	2236.90429485787	612.097399479461	782.005629993116
"METHGLYUT-PWY"	0	0	0	0	0	0	0	0	0	0	0	0	0	9.97728081153834	0	0	0	0	0	0	0	0	0.833136893862722	0	0	0	0	0	33.674635931968	0	0	0	0	0
"METHYLGALLATE-DEGRADATION-PWY"	0	0	0	0	6.58801575728422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"NAD-BIOSYNTHESIS-II"	4524.43655658042	399.982023947655	1777.91726916625	1691.77512362818	1491.48927036663	707.14102236818	443.888014064769	1682.87497072425	2445.70790839392	483.835711426765	807.870531039826	1121.05688398139	370.726197248421	249.894069632066	888.694296128279	1767.48167067678	2171.24866438657	1464.6457583265	1060.30523875206	1342.56403673997	1190.95336593651	452.775735349589	172.762499598374	742.489788273727	987.757038976158	1494.73730350767	1608.87615971278	1680.81693680553	3453.76724045481	670.828581879005	984.688126013369	1756.29212738518	750.421229293912	1571.25087852321
"NADSYN-PWY"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"NAGLIPASYN-PWY"	4772.7480483933	2267.97351155438	2194.56250518653	1672.08472059148	5477.34387515395	2642.47245379386	1248.7977996776	4105.28587297384	4692.00366732494	3275.09585593573	2655.04359133154	1621.58752406872	1053.10213423856	1158.87346016384	1748.59572459535	2342.17893033072	1308.26806285852	2775.54294160881	2561.57617905463	3309.66153023516	3452.34986835419	1284.94025704392	1516.02015432232	2190.80815315759	2487.62587144291	2352.44365193653	2244.96115697976	3147.30857691221	9706.74565554091	3078.459714295	2369.29659172193	3502.529853497	1305.37208821717	2075.03723317472
"NONMEVIPP-PWY"	17126.2232442245	12056.121794236	8041.20597577042	14081.6556394092	16561.1693642302	6984.42836377211	4583.70723728144	9649.27753569171	9405.43759846194	6706.48298613215	9800.86737123088	8265.60065216311	5399.95444512445	12690.7069606691	6160.45466103251	7916.48414780068	6393.83507691334	7843.15325972254	7832.62905517107	8965.41883248883	9834.50067257118	5496.18801514199	3266.76090766137	5186.75917712745	7961.7377850501	7138.66212718953	7691.59612905001	8047.29420078248	12754.8973308401	8118.56144639547	8916.87876865647	14281.3242433361	5110.99244603444	6809.56262268346
"NONOXIPENT-PWY"	32492.3917739723	16844.3596869091	14068.8890746379	22068.444240276	26947.7822284825	11877.2567806065	7150.86848870446	16139.3067189947	15239.2459107181	11460.3221157742	15561.9067588549	13279.0079582188	8272.49091279889	19179.7987712954	11666.0078022792	14527.9036012491	11826.7744297105	13005.2024826982	12570.1130509729	15415.3134273795	17485.467255716	8926.0598689201	6075.34756716649	8589.27993500441	12909.3806561343	12333.3312072175	13113.9332696314	15649.0786623218	18835.5880314338	13691.0640396779	14263.5360472812	21828.6856800403	8561.35455034658	12876.2445667775
"OANTIGEN-PWY"	14735.9356411849	9492.62182265822	6608.03399777656	10914.3439771129	14313.9362290661	6928.92737414613	3531.69388314744	7428.8468278217	7068.57039971422	6292.33900038415	7765.00644014933	6201.89303215886	4631.76088703398	11349.4176083455	6456.28306269781	7636.0159795981	5635.9577383076	6032.97315805968	6851.41278176423	8280.1452439803	9190.08791951282	4596.18755448954	4599.67686515632	4251.5842560951	6733.66687017239	5954.49137808904	6056.56175031682	8637.95168516694	6926.20618009177	7076.05296848809	6315.18794484604	9587.96427697983	4355.21033947004	6125.16781473284
"ORNARGDEG-PWY"	0	0	0	0	0	0	0	0	0	0	0	0	0	13.8488577487229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43.6549269040709	0	0	0	0	0
"ORNDEG-PWY"	0	0	0	0	0	0	0	0	0	0	0	0	0	11.9690987124464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40.096482056763	0	0	0	0	0
"P101-PWY"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"P105-PWY"	0	0	0	0	59.6087371561347	99.1319632795664	0	0	0	0	84.9232878461524	0	0	87.7676577289598	0	0	0	0	0	0	0	14.9253647605586	7.4711896313715	0	73.4316580013727	0	0	0	244.376790117431	0	0	0	0	0
"P108-PWY"	8991.0328068217	3969.19188226303	4001.8447163847	3357.5936786327	9809.0011817617	4424.60532558765	2347.69777641622	6656.39525199808	7463.02346864077	5188.04291722726	4938.71529768318	3062.59922345163	2018.05066063762	2473.06030168635	3217.01270450221	3982.4985486603	2738.26345858923	4716.98862984949	4546.1506412937	5609.54973207478	5668.3616185081	2456.45490419793	2421.14886479288	3264.36214131143	4335.39907968554	4108.45983225368	3985.15652105975	5072.13198278379	13506.0620453761	5265.47634418515	4468.75698556656	6115.01045379702	2388.26739702991	3678.14823221109
"P122-PWY"	10139.8741699471	2472.24615762017	4257.67088811811	5399.05562579388	9146.38179351545	5471.53573618375	1649.91351860031	4977.96192899022	4789.18533304185	4700.31674146611	4652.81302827783	3109.98966557016	2528.15860259975	4809.59106252504	5143.76349721572	6296.76290360276	3715.64992978814	3632.98732206848	4290.54769103591	6386.16791629043	6719.29434121702	2853.04658400019	4714.48142227589	2307.81528585508	4453.56008064866	4218.55866121065	3752.31213281372	7590.69804398162	3658.66587914634	4412.49230372976	2973.08340497974	3399.16433537314	1834.02245156074	5074.2398662246
"P124-PWY"	12688.9160703299	3309.79825063648	5348.43062922042	7096.02243562573	11377.9039046043	6783.3144543914	2118.6294934871	6135.18498725334	5884.12008039292	5604.67875385852	5935.79599241506	4090.16646587261	3281.86203038041	6492.77977577339	6518.00146530669	7880.43154975446	4789.34952449189	4495.91622615444	5395.33126125156	8072.67046171012	8213.45295622775	3615.09347281201	5743.049892229	2855.56798553977	5619.54903519296	5269.17049155039	4721.34313636972	9358.40419948639	4308.13702506665	5333.69367269982	3720.01065153064	4269.75966604886	2403.30521925305	6405.396967537
"P125-PWY"	56.8051586830809	0	19.4640957622988	71.4780353364852	318.91833851518	268.247786080123	0	26.9272587474322	20.959169186983	76.0355285322333	124.222995823655	0	25.3933060800207	0	16.4809714382019	34.4297454012446	7.49365345191975	16.4643617388255	11.9833989995969	14.9868741979811	302.03416670639	56.4460181692359	11.2378489073989	175.459749120887	139.097501719183	133.338487138416	80.294081052265	292.675258793639	0	0	10.4818311777422	26.7579802676832	0	65.6830345415238
"P161-PWY"	16074.4191699786	5732.19312195205	6121.65716743853	12065.6967196236	11435.2630560187	6484.74539770454	2706.11649723336	6068.84974551524	6360.88546686369	5202.78373785929	7279.55291943942	6782.65491457574	3709.88333077342	8546.42378922781	6867.52036921094	8248.67376190036	4983.96475594382	5256.66517226059	6727.43817966523	9009.10838379893	9292.27617660137	4725.98559847012	6232.69695067405	3561.43323169715	5807.1040853915	5940.76009893977	5545.47678211993	9119.65565756554	6998.96212982696	5730.33561662069	5015.87175185568	8164.79126147442	3251.41160914336	6575.58962241404
"P162-PWY"	745.240095197203	154.25728062185	189.603808590711	259.365741838751	731.821538328617	206.867562759669	94.4459069230091	203.480858864366	187.792704717321	137.340811222578	435.669471978766	371.579118628574	80.5988992599599	208.752851794214	181.062831192977	71.0097943533638	101.243000775357	312.066749380254	185.543650906685	202.197716929434	349.934772123418	177.778731572847	11.729750148034	298.658857234765	234.823523910939	187.634763355244	204.437872502582	304.24301862381	45.370822074799	267.492428236616	187.723857058374	435.097332527423	54.0421929309161	254.844319301026
"P163-PWY"	23.8543874943572	21.9686919940301	20.7252292080908	74.0483752359733	169.182587879757	31.3704883296084	0	30.0595714696742	92.835760617141	14.4567516562108	27.686250991928	7.0602340661819	31.1272015699992	11.567127092717	19.712158805354	46.6170963818408	10.4860797375811	41.909340494595	60.3764085585363	0	76.9255611406196	14.5517464453085	7.07458403089145	0	24.8933979315631	41.2886933364635	29.8892837186241	34.4989364872559	0	6.1603892706846	42.6335547704602	144.186348434573	40.4701471922939	14.4648726956173
"P164-PWY"	10473.699371879	998.583730207623	3452.54950665304	5151.0274721765	3287.40425455247	1161.99122592974	1188.75169997275	3778.56121048432	3299.97424897858	1067.37124797182	2730.03955178799	3437.24187513623	547.610906385815	928.39824770884	2113.87220805976	2751.77860953295	3728.11589957962	1931.61506339259	1860.39617674842	2115.44342889401	3049.31416257931	1648.00326062731	683.666771780132	1243.98805945996	1983.718806312	2519.40357392081	2420.07436029856	3566.01265401706	10694.7371241741	1774.16761496978	2798.39050847346	4234.96360225219	1117.73719482549	3975.90088915439
"P184-PWY"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"P221-PWY"	0	0	0	0	7.9974594548522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.99934267560766	0	0	0	0	0	0	0	0	0	0	0
"P23-PWY"	5626.3681005416	1364.18901294841	1027.35159358037	1977.9440238878	4975.8592938393	1796.23235412199	847.857136493788	2658.01665518759	2655.62771769402	2647.60513930473	2493.82191664116	1065.60152971137	559.955023519556	922.015895914361	1692.9482646872	1097.17120104641	1046.47956849101	1453.90444962196	2326.55303389727	1624.40695818488	3052.49583254857	1322.53575885849	429.233803599231	1957.39062592858	1180.94768100262	910.346819635554	676.074140293037	2935.84633723443	284.963940687811	2991.07688750534	908.508958799188	1948.03883378298	1029.61788435876	797.750793559207
"P261-PWY"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"P281-PWY"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.66412213740458	0	0	0	0	0	0	0	0	0	0	0
"P341-PWY"	4973.58500555857	446.933546005352	1069.33275738085	1093.38827288815	1106.24662755923	430.100830225735	341.148250176515	871.716530022996	1924.76315317179	518.941456404937	803.72861364961	2031.87472036686	340.574233548463	159.138626235456	234.370530933407	1098.15864512142	772.187394775236	1414.21149930717	637.865415837732	1511.89734974335	825.000089549938	395.503416248836	138.324847349722	391.716120654614	763.33930844054	1110.92253729575	1208.25408313985	764.922561960813	3573.51910660248	702.30702943747	617.726072592913	1788.67571101867	716.646171944809	859.032366337881
"P381-PWY"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"P4-PWY"	7785.807993859	3607.69207955672	3965.0122924166	8240.12030303438	6500.39336766341	4314.96493879174	1399.07224850824	4054.15752421015	2395.21085856185	3266.7668108115	5467.49181782794	3209.7039792091	2515.04326621966	5023.71399069877	4215.95978662154	5033.14961651756	2741.32222890991	2170.12519978947	3916.92937707002	2368.82123127347	5310.44118089016	3200.31141263845	2273.39059398142	1854.704653995	3234.71690317073	1402.23887739237	1693.83339811362	5612.04247408905	1258.43800788162	3690.97074186519	2706.19663286961	5083.35246345562	3190.76730679938	816.226310182871
"P42-PWY"	12508.89203862	4998.21130155928	5680.64391063124	4712.25550132822	13973.3324495822	6757.14222681601	2788.22355240553	8618.92052171425	9660.82031697892	6482.23662189499	6645.36492846765	4048.39168420478	2962.81936441448	3164.75749180682	4440.18983494677	6512.92295759469	3569.23718613001	6475.16975469163	5888.55162206042	8339.28069826048	7582.63256098421	3503.66273014993	3628.8117051904	4213.18177213158	6321.20733243568	6169.03340263371	5881.53324929606	7660.36508072818	19338.2747817433	6035.49458334861	6039.15344135885	8779.67223189362	2908.42711306555	5857.88466484282
"P441-PWY"	13220.8687405104	4910.7443775847	4957.58059370676	5571.20375423316	10724.0678794136	5849.17937606145	3043.85884050696	7094.2834842986	8521.11625236745	4802.62190106405	5064.16006012045	6600.46801926717	2195.26222303785	5151.17710735983	3827.93658236001	2670.20541558261	2913.24628464105	6268.73259802489	5795.19298638196	7819.30944747464	7549.23077620677	2879.32459531235	929.253241509984	4909.20868290457	4471.4113334118	4381.6707879247	5001.6824879181	6680.70174880085	11841.8924843862	6220.68060234964	4686.22185380331	7444.57260212653	4047.38283694791	4938.25387788835
"P461-PWY"	5307.22522925511	691.735398046144	1628.13718117475	1576.53793605302	4142.43554874381	2486.86920259073	826.106496409889	2187.83746822238	3165.84232744619	1070.30412282234	1579.69768709256	2133.92942728235	764.653436731173	1455.42365790403	1313.63332925041	888.795805164123	838.158876599416	2066.53906556924	2067.79800030224	3539.94661097314	1761.40678072184	973.915163142361	298.063379411319	991.659361823858	1693.92024771764	1711.72483819451	2008.52848188109	2578.07788268939	2479.21348337149	1599.29352479683	1528.91318249591	1483.87304651561	577.465476026562	2051.49572250045
"P562-PWY"	890.45411257693	55.2622883590134	542.010594906081	492.805006234874	421.051215595863	286.785872778705	86.1727842435094	759.113802967631	639.176757067199	87.2251732395441	173.110138137692	140.901143168645	73.9823089198165	55.4020382165605	520.111814522307	527.624796211321	1052.33935084252	160.080934013063	414.673082551978	204.845835756533	388.472807355976	105.714277966396	49.4208477935899	257.39226570315	267.698410756722	342.537426886888	310.573627439123	843.80882913723	870.348728326667	128.995285190918	155.42198789379	338.478457536222	42.3958263475564	687.809793569961
"P621-PWY"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
